term,coef,std_err,p_value,ci_lower,ci_upper
power,0.0009996377649611927,2.3409489419434074e-07,0.0,0.0009991789473996072,0.0010000965825227783
temperature,2.1493462932802178e-05,1.0604215703454817e-05,0.04267478082026559,7.095820697366646e-07,4.227734379586769e-05
humidity,6.254038270271673e-06,2.954104253361892e-06,0.03425411477765297,4.6410032710577785e-07,1.2043976213437567e-05
rainfall,-3.196862596239414e-05,0.0001529798390437403,0.8344694689464496,-0.00033180360084885947,0.00026786634892407124
hour_of_day,-1.972499670578552e-05,5.08233356933096e-06,0.00010398911806542344,-2.9686187459093106e-05,-9.763805952477937e-06
day_of_week,4.7981095981844695e-06,1.92177760896404e-05,0.8028422606228482,-3.286803940046571e-05,4.2464258596834645e-05
is_weekend,1.3865668014978842e-05,8.705914506602416e-05,0.8734583456789715,-0.00015676712083927645,0.00018449845686923413
lag_24,0.0006778577714851763,0.00023542635353995383,0.003985876090057011,0.00021643059753527298,0.0011392849454350796
lag_168,-0.0004225121361246921,0.00023198814343739123,0.06856642027433606,-0.000877200542102291,3.217626985290681e-05
rolling_mean_24,-0.00015936965291018696,0.001019034932552721,0.875723468954775,-0.0021566414197017234,0.0018379021138813496
rolling_mean_168,-0.007389462568494781,0.0019326163427845812,0.00013154187080305173,-0.011177320996286075,-0.0036016041407034866
ar.L1,-0.13791906390834782,0.08282354360505571,0.09586973276769688,-0.3002502264462397,0.024412098629544077
ar.L2,-0.2764696810749578,0.05388685615846265,2.8888338507087757e-07,-0.38208597838563496,-0.17085338376428058
ar.L3,-0.2705266793909151,0.031032147081903255,2.8409338415658325e-18,-0.3313485700343952,-0.209704788747435
ma.L1,-0.1264803446785465,0.08338261532335413,0.12930024527032627,-0.2899072676490782,0.03694657829198522
ma.L2,0.21824345132436035,0.07245580849785575,0.002594552468468002,0.07623267619783189,0.3602542264508888
ma.L3,0.25109640200714195,0.04160423879619816,1.5861238690646971e-09,0.1695535923623895,0.33263921165189436
ar.S.L24,0.35075844713503435,0.18373297007406147,0.05625352132375557,-0.009351556982701681,0.7108684512527703
ar.S.L48,0.4502152610528907,0.15725129536144353,0.004196101166894041,0.14200838562219092,0.7584221364835906
ma.S.L24,-0.23444596660035927,0.18348310178173155,0.20133675633619375,-0.5940662378642501,0.12517430466353158
ma.S.L48,-0.4057584409866748,0.1360769392457216,0.00286530085513833,-0.6724643410347342,-0.13905254093861547
sigma2,5.259323398391648e-06,1.5535520061218406e-08,0.0,5.228874338590561e-06,5.289772458192735e-06
