p,d,q,P,D,Q,s,aic,bic,converged,fit_seconds,error
0,0,0,0,0,0,24,-82486.87403758588,-82401.1680144834,False,9.016807300002256,
0,0,0,0,0,1,24,-86779.80157579211,-86686.95338409777,False,14.097228200000245,
0,0,0,0,0,2,24,-86925.4631587703,-86825.47279848409,False,61.45193780000045,
0,0,0,1,0,0,24,-86963.73094855089,-86870.88275685655,False,10.18020389999947,
0,0,0,1,0,1,24,-87312.4372237048,-87212.44686341858,False,21.03350529999807,
0,0,0,1,0,2,24,-87275.07242786873,-87167.93989899063,False,60.032645199997205,
0,0,0,2,0,0,24,-87298.33901358314,-87198.34865329693,False,48.43212510000012,
0,0,0,2,0,1,24,-87468.4905683636,-87361.35803948551,False,67.35667199999807,
0,0,0,2,0,2,24,-87804.37218012539,-87690.09748265542,False,68.82542499999909,
0,0,1,0,0,0,24,-86903.87238066267,-86811.02418896832,False,2.6034330999973463,
0,0,1,0,0,1,24,-87371.79052057175,-87271.80016028554,False,18.103758299999754,
0,0,1,0,0,2,24,-87509.71826082822,-87402.58573195012,False,64.44164160000219,
0,0,1,1,0,0,24,-87529.52043088779,-87429.53007060157,False,10.74221899999975,
0,0,1,1,0,1,24,-87815.1105691872,-87707.97804030911,False,18.83630660000199,
0,0,1,1,0,2,24,-87777.28608707269,-87663.01138960272,False,64.37131859999863,
0,0,1,2,0,0,24,-87787.02352144563,-87679.89099256754,False,50.8333320999991,
0,0,1,2,0,1,24,-87920.50087169358,-87806.22617422362,False,51.81954300000143,
0,0,1,2,0,2,24,-88179.59188268307,-88058.17501662123,False,64.57296739999947,
0,0,2,0,0,0,24,-86896.03599710508,-86796.04563681886,False,2.7087554999998247,
0,0,2,0,0,1,24,-87364.73318156681,-87257.60065268872,False,18.170392500000162,
0,0,2,0,0,2,24,-87502.65819255405,-87388.38349508408,False,72.35919540000032,
0,0,2,1,0,0,24,-87522.30013120646,-87415.16760232837,False,11.234518999997817,
0,0,2,1,0,1,24,-87805.7456350583,-87691.47093758832,False,20.17236799999955,
0,0,2,1,0,2,24,-87767.5371947817,-87646.12032871986,False,71.37804020000112,
0,0,2,2,0,0,24,-87777.14065272282,-87662.86595525286,False,54.235028499999316,
0,0,2,2,0,1,24,-87908.92821797005,-87787.51135190821,False,60.79727170000115,
0,0,2,2,0,2,24,-88166.39147291501,-88037.8324382613,False,75.13800079999783,
0,0,3,0,0,0,24,-86960.07756739622,-86852.94503851813,False,3.018458599999576,
0,0,3,0,0,1,24,-87425.05540735688,-87310.78070988691,False,18.293227400001342,
0,0,3,0,0,2,24,-87559.24568116166,-87437.82881509981,False,81.54534579999745,
0,0,3,1,0,0,24,-87579.5719757609,-87465.29727829093,False,13.861611899999843,
0,0,3,1,0,1,24,-87861.11401647412,-87739.69715041228,False,23.483565499998804,
0,0,3,1,0,2,24,-87823.80200676413,-87695.24297211043,False,85.82304740000109,
0,0,3,2,0,0,24,-87828.34286591674,-87706.9259998549,False,64.65935220000028,
0,0,3,2,0,1,24,-87960.80092282486,-87832.24188817115,False,66.22889629999918,
0,0,3,2,0,2,24,-88221.90935830408,-88086.2081550585,False,84.44347950000156,
1,0,0,0,0,0,24,-86833.65023911504,-86740.8020474207,False,2.9350525999980164,
1,0,0,0,0,1,24,-87302.94119084835,-87202.95083056213,False,23.517812300000514,
1,0,0,0,0,2,24,-87443.05841140031,-87335.92588252222,False,88.03583760000038,
1,0,0,1,0,0,24,-87463.42546397232,-87363.4351036861,False,13.93674049999754,
1,0,0,1,0,1,24,-87757.49273225697,-87650.36020337888,False,21.437167700001737,
