term,coef,std_err,p_value,ci_lower,ci_upper
power,0.000999659482174576,5.6180137542586e-07,0.0,0.0009985583717122763,0.0010007605926368758
temperature,-3.343208846127844e-06,6.279555558488085e-06,0.5944519110256108,-1.5650911579682796e-05,8.964493887427108e-06
humidity,5.37979065824685e-07,1.8543669047481243e-06,0.7717285036006105,-3.0965132816046554e-06,4.172471413254026e-06
rainfall,-2.65492585422575e-05,0.00010337934728162886,0.797322400486437,-0.00022916905595950882,0.0001760705388749938
hour_of_day,-5.649308724030047e-06,3.3143664829787383e-06,0.0882893463026527,-1.214534766223506e-05,8.467302141749661e-07
day_of_week,2.064059505458706e-05,1.1964154227179788e-05,0.08449089088729342,-2.8087163361679724e-06,4.408990644534209e-05
is_weekend,-3.869167658458455e-05,5.9614135148867394e-05,0.5163155761274387,-0.00015553323444586798,7.814988127669887e-05
lag_24,-0.00036735993900063527,0.0005780585276078706,0.5250981430715334,-0.0015003338340683142,0.0007656139560670435
lag_168,-0.0005485399781452934,0.0005499455446333934,0.3185489598171546,-0.0016264134390850094,0.0005293334827944225
rolling_mean_24,0.00040948104028455597,0.0016101925008931758,0.7992594401223052,-0.0027464382696425474,0.003565400350211659
rolling_mean_168,0.002953145439893228,0.0031198095399527148,0.34385347229759733,-0.003161568897038568,0.009067859776825024
ma.L1,-0.2604269472568569,0.00271854890793154,0.0,-0.2657552052066134,-0.2550986893071004
ar.S.L24,0.09037100744282421,0.08425615203440906,0.28346203214108534,-0.07476801602054876,0.25551003090619717
ar.S.L48,0.2860322881803525,0.061221136610348795,2.9811164554946073e-06,0.1660410653314623,0.40602351102924267
ma.S.L24,0.018122733876811965,0.08470477132364856,0.8305846854632959,-0.1478955672362404,0.1841410349898643
ma.S.L48,-0.2044891768224922,0.053435734563927355,0.0001298070068005263,-0.30922129205523197,-0.09975706158975246
sigma2,3.0250385954642657e-06,8.183688360811616e-09,0.0,3.008998861016375e-06,3.0410783299121563e-06
