p,d,q,P,D,Q,s,aic,bic,converged,fit_seconds,error
0,0,0,0,0,0,24,-87664.86735486382,-87579.16133176134,True,22.01429399999961,
0,0,0,0,0,1,24,-91673.14565817919,-91580.29746648484,False,20.59884249999959,
0,0,0,0,0,2,24,-91766.58264495901,-91666.59228467279,False,83.40072539999983,
0,0,0,1,0,0,24,-91701.2274070826,-91608.37921538825,False,17.95971009999994,
0,0,0,1,0,1,24,-91710.982607307,-91610.99224702078,False,22.704380500000298,
0,0,0,1,0,2,24,-91796.37825831134,-91689.24572943324,False,89.7026463000002,
0,0,0,2,0,0,24,-91843.42925951435,-91743.43889922813,False,75.95045129999926,
0,0,0,2,0,1,24,-91829.15299751805,-91722.02046863995,False,78.85721890000059,
0,0,0,2,0,2,24,-91901.0558909901,-91786.78119352013,False,95.94036080000024,
0,0,1,0,0,0,24,-92178.03466622918,-92085.18647453484,False,4.2482639999998355,
0,0,1,0,0,1,24,-92320.635497168,-92220.64513688178,False,24.223828399999547,
0,0,1,0,0,2,24,-92423.02872651155,-92315.89619763345,False,93.60241020000012,
0,0,1,1,0,0,24,-92352.59976914877,-92252.60940886255,False,18.60857869999927,
0,0,1,1,0,1,24,-92360.01637801752,-92252.88384913943,False,25.525415399999474,
0,0,1,1,0,2,24,-92450.00457047987,-92335.7298730099,False,101.70727960000022,
0,0,1,2,0,0,24,-92499.02854255974,-92391.89601368165,False,85.0002074999993,
0,0,1,2,0,1,24,-92488.05900070223,-92373.78430323226,False,88.59343439999975,
0,0,1,2,0,2,24,-92552.43278183903,-92431.01591577719,True,103.67344860000048,
0,0,2,0,0,0,24,-92176.78103378625,-92076.79067350003,False,4.619431099999929,
0,0,2,0,0,1,24,-92318.58083848844,-92211.44830961035,False,29.17004960000031,
0,0,2,0,0,2,24,-92421.23419790645,-92306.95950043648,False,112.84927070000049,
0,0,2,1,0,0,24,-92350.497208587,-92243.3646797089,False,19.695151400000213,
0,0,2,1,0,1,24,-92357.96463034843,-92243.68993287846,False,30.96794839999984,
0,0,2,1,0,2,24,-92448.10415996241,-92326.68729390057,False,127.80583279999973,
0,0,2,2,0,0,24,-92497.0576122153,-92382.78291474533,False,86.62937809999949,
0,0,2,2,0,1,24,-92486.09395016934,-92364.67708410749,False,89.5537959000003,
0,0,2,2,0,2,24,-92550.07578998305,-92421.51675532934,True,124.2865111000001,
0,0,3,0,0,0,24,-92173.00103447383,-92065.86850559573,False,4.8605279000003065,
0,0,3,0,0,1,24,-92317.28847803139,-92203.01378056142,False,31.38804760000039,
0,0,3,0,0,2,24,-92418.40105859221,-92296.98419253036,False,109.4263305000004,
0,0,3,1,0,0,24,-92349.19098880858,-92234.91629133861,False,20.625911000000087,
0,0,3,1,0,1,24,-92356.4227903481,-92235.00592428625,False,29.593605099999877,
0,0,3,1,0,2,24,-92445.3999586699,-92316.8409240162,False,123.50315039999987,
0,0,3,2,0,0,24,-92493.65516933694,-92372.2383032751,False,90.83523409999998,
0,0,3,2,0,1,24,-92482.76821622532,-92354.20918157161,False,94.91596919999938,
0,0,3,2,0,2,24,-92547.41891119984,-92411.71770795426,True,118.62204779999956,
1,0,0,0,0,0,24,-92147.18436358855,-92054.3361718942,False,3.6193576000005123,
1,0,0,0,0,1,24,-92284.16892763783,-92184.17856735161,False,21.732740900000863,
1,0,0,0,0,2,24,-92385.671335922,-92278.53880704391,False,89.39818399999967,
1,0,0,1,0,0,24,-92315.35612460272,-92215.3657643165,False,21.48086439999861,
1,0,0,1,0,1,24,-92323.03982179545,-92215.90729291736,False,23.396881999999096,
1,0,0,1,0,2,24,-92412.0989156451,-92297.82421817513,False,101.66094689999954,
1,0,0,2,0,0,24,-92458.67509460777,-92351.54256572967,True,75.18303569999989,
1,0,0,2,0,1,24,-92447.65269641543,-92333.37799894546,True,79.15470370000003,
1,0,0,2,0,2,24,-92510.1885631436,-92388.77169708176,False,109.01271720000113,
1,0,1,0,0,0,24,-92176.74701483826,-92076.75665455204,False,4.095936200001233,
1,0,1,0,0,1,24,-92318.67559587177,-92211.54306699368,False,24.02549530000033,
1,0,1,0,0,2,24,-92421.32348646062,-92307.04878899065,False,96.0220031000008,
1,0,1,1,0,0,24,-92350.605003106,-92243.4724742279,False,22.942488000000594,
1,0,1,1,0,1,24,-92358.07047151803,-92243.79577404806,False,25.539721700000882,
1,0,1,1,0,2,24,-92448.21518832029,-92326.79832225844,False,103.38949619999948,
1,0,1,2,0,0,24,-92497.17736215206,-92382.90266468209,False,94.70940889999838,
1,0,1,2,0,1,24,-92486.20929063039,-92364.79242456854,False,99.36005640000076,
1,0,1,2,0,2,24,-92550.25786161679,-92421.69882696308,False,107.31705620000139,
