term,coef,std_err,p_value,ci_lower,ci_upper
power,0.0009555667351607406,9.434910514111195e-07,0.0,0.000953717526680239,0.0009574159436412422
temperature,-8.818425495935179e-05,1.86258142447225e-05,2.1957615993321842e-06,-0.000124690180061741,-5.167832985696258e-05
humidity,-9.69523554713182e-06,2.990625299493484e-06,0.0011874579353758062,-1.555675342539336e-05,-3.833717668870279e-06
rainfall,-1.326612565735675e-05,3.844512310747467e-05,0.7300443465646388,-8.86171823292157e-05,6.208493101450221e-05
hour_of_day,3.902813796254217e-05,3.6789968561555964e-06,2.724780300974495e-26,3.1817436625241114e-05,4.623883929984322e-05
day_of_week,-3.941432097821913e-05,2.1951465214397194e-05,0.07257069948730067,-8.243840220632144e-05,3.6097602498831875e-06
is_weekend,0.0002756163374269845,0.00010268200350657646,0.007270931057535531,7.436330869367908e-05,0.0004768693661602899
lag_24,-0.0869165206254416,0.0009330743239111444,0.0,-0.0887453126952065,-0.0850877285556767
lag_168,-0.009295298508639176,0.000971760222486627,1.1174254826739913e-21,-0.011199913546321594,-0.007390683470956757
rolling_mean_24,0.11974022451641297,0.01086256829942572,2.9537996061850747e-28,0.09844998186993206,0.14103046716289389
rolling_mean_168,1.4620120055372448,0.0640952705931097,3.650012661750378e-115,1.3363875835954004,1.587636427479089
ma.L1,-0.9286716958178997,0.003499751960823896,0.0,-0.935531083615938,-0.9218123080198614
ma.L2,0.2765062796098257,0.004113816054652481,0.0,0.2684433483036842,0.2845692109159672
ma.L3,-0.0056801441386156535,0.003504498506119476,0.1050572965262492,-0.01254883499448425,0.0011885467172529423
ma.S.L24,-0.7335907664389645,0.0035000943878223086,0.0,-0.740450825381587,-0.7267307074963419
ma.S.L48,-0.15699047764684634,0.0034603239939429956,0.0,-0.1637725880498144,-0.1502083672438783
sigma2,1.3107210391858579e-06,5.994838781758717e-09,0.0,1.2989713710804868e-06,1.322470707291229e-06
