p,d,q,P,D,Q,s,aic,bic,converged,fit_seconds,error
0,1,0,0,1,0,24,-88884.43867258648,-88798.76480901442,True,52.99422709999999,
0,1,0,0,1,1,24,-92535.96667143403,-92443.15331923097,True,116.98653190000005,
0,1,0,0,1,2,24,-93528.98838673919,-93429.03554590514,True,1087.1278651000011,
0,1,0,1,1,0,24,-90509.74955394221,-90416.93620173915,True,84.6568331999988,
0,1,0,1,1,1,24,-91571.99141976135,-91472.0385789273,False,273.7630102999992,
0,1,0,1,1,2,24,-93363.24430014158,-93256.15197067652,True,520.4451449999997,
0,1,0,2,1,0,24,-91544.43071476684,-91444.47787393279,True,396.6646789000006,
0,1,0,2,1,1,24,-91824.94561941823,-91717.85328995317,True,476.9584694999994,
0,1,0,2,1,2,24,-92665.74848976353,-92551.51667166746,True,442.005846,
0,1,1,0,1,0,24,-91940.04914830075,-91847.2357960977,True,101.25426599999992,
0,1,1,0,1,1,24,-95801.845986242,-95701.89314540794,True,171.7468976,
0,1,1,0,1,2,24,-96422.35191620921,-96315.25958674416,True,898.2366663000012,
0,1,1,1,1,0,24,-94034.7254730486,-93934.77263221455,True,92.72930050000105,
0,1,1,1,1,1,24,-95148.37614607654,-95041.28381661148,True,208.9601449999991,
0,1,1,1,1,2,24,-96324.09568133643,-96209.86386324036,True,446.67650929999945,
0,1,1,2,1,0,24,-94898.38633093238,-94791.29400146732,True,593.2708108000006,
0,1,1,2,1,1,24,-95219.71679487331,-95105.48497677724,True,761.9133765000006,
0,1,1,2,1,2,24,-95690.33308116345,-95568.96177443638,True,864.6768450000018,
0,1,2,0,1,0,24,-95049.69063229361,-94949.73779145956,True,35.59335459999784,
0,1,2,0,1,1,24,-98918.4591773733,-98811.36684790824,False,528.5449694999988,
0,1,2,0,1,2,24,-99626.6954049572,-99512.46358686112,False,1113.4981837000014,
0,1,2,1,1,0,24,-96949.90096013449,-96842.80863066943,False,374.1003839999976,
0,1,2,1,1,1,24,-98096.8021987926,-97982.57038069653,False,1195.7640111999972,
0,1,2,1,1,2,24,-99586.06883639134,-99464.69752966426,True,943.7453521999996,
0,1,2,2,1,0,24,-97957.49408625072,-97843.26226815465,True,982.8691794999977,
0,1,2,2,1,1,24,-98294.61956705009,-98173.24826032302,True,1509.6998666,
0,1,2,2,1,2,24,-98999.23426857346,-98870.72347321539,True,3010.3540175999988,
0,1,3,0,1,0,24,-95042.25333796591,-94935.16100850086,True,54.223568800000066,
0,1,3,0,1,1,24,-98911.2379141622,-98797.00609606612,False,639.9304392999984,
0,1,3,0,1,2,24,-99627.82753674715,-99506.45623002008,True,1757.1734771999982,
0,1,3,1,1,0,24,-96942.22974961548,-96827.9979315194,False,596.1294261000003,
0,1,3,1,1,1,24,-98083.76600595718,-97962.3946992301,True,512.0309372999982,
