term,coef,std_err,p_value,ci_lower,ci_upper
power,0.0010006845143177062,2.2884204658555005e-07,0.0,0.0010002359921482502,0.0010011330364871622
temperature,2.1336407372113744e-05,8.618860781456971e-06,0.01330317137513039,4.443750652693336e-06,3.822906409153415e-05
humidity,4.750349255790274e-06,2.0253544848668016e-06,0.019004591000025217,7.807274095246689e-07,8.719971102055878e-06
rainfall,-5.596205743727563e-06,9.60997415816186e-05,0.9535627906650538,-0.0001939482381673063,0.00018275582667985114
sin_hour,-4.8566347903990734e-05,4.111412192177494e-05,0.23750060911919513,-0.00012914854612665835,3.201585031867687e-05
cos_hour,-4.288398389281739e-05,6.132340944273262e-05,0.48435923147398086,-0.00016307565780977678,7.7307690024142e-05
sin_day_of_week,2.6562916043128515e-05,4.2911823847781014e-05,0.5359087277946979,-5.7542713209449275e-05,0.0001106685452957063
cos_day_of_week,-1.7741855602010945e-05,2.3922885278221947e-05,0.45831341173382134,-6.462984915360943e-05,2.9146137949587546e-05
is_weekend,4.2721813890904785e-05,6.253862982757966e-05,0.49452672384136964,-7.985164821363372e-05,0.00016529527599544328
lag_24,0.0005365638190771504,0.0002253394102175639,0.017259330895708015,9.490669075322807e-05,0.0009782209474010727
lag_168,-0.00036671416303170015,0.00024751201571445873,0.13844637120842937,-0.0008518287995729511,0.00011840047350955086
rolling_mean_24,-0.0003519910644487335,0.0007701022393197627,0.6476203275227542,-0.001861363717929114,0.0011573815890316469
rolling_mean_168,-0.008782916743813835,0.0013851448309429167,2.2858539580325963e-10,-0.011497750725833774,-0.006068082761793896
ma.L1,-0.3245287456655495,0.002428404186194645,0.0,-0.3292883304103973,-0.31976916092070173
ar.S.L24,0.4457638622133652,0.004025637052850152,0.0,0.437873758574949,0.45365396585178147
ar.S.L48,0.2668228721947343,0.005519080868114154,0.0,0.25600567246546646,0.2776400719240021
ma.S.L24,-0.2828206114458369,0.004673683547591893,0.0,-0.2919808628742544,-0.27366036001741945
ma.S.L48,-0.25845761470387413,0.00833995465591579,7.28566494327639e-211,-0.2748036254621662,-0.24211160394558204
sigma2,2.793298430305961e-06,9.287987918877035e-09,0.0,2.775094308496119e-06,2.811502552115803e-06
