p,d,q,P,D,Q,s,aic,bic,converged,fit_seconds,error
0,0,0,0,0,0,24,-90806.37900350263,-90706.30347298735,False,35.38189240000065,
0,0,0,0,0,1,24,-93250.4066056773,-93143.18282298236,False,23.26778380000178,
0,0,0,0,0,2,24,-93365.9960004972,-93251.6239656226,False,95.78542469999957,
0,0,0,1,0,0,24,-93501.16995724002,-93393.94617454508,False,20.007116500004486,
0,0,0,1,0,1,24,-93760.72416960722,-93646.35213473262,False,25.449001100001624,
0,0,0,1,0,2,24,-93636.14778883304,-93514.62750177877,False,101.63385649999691,
0,0,0,2,0,0,24,-93715.4952709857,-93601.1232361111,False,88.22076740000193,
0,0,0,2,0,1,24,-93824.85698573908,-93703.33669868481,False,91.22552279999945,
0,0,0,2,0,2,24,-93987.77650474911,-93859.10796551518,False,109.68449040000269,
0,0,1,0,0,0,24,-93494.08284568082,-93386.85906298588,False,10.84165049999865,
0,0,1,0,0,1,24,-94146.7024753479,-94032.3304404733,False,58.391451799994684,
0,0,1,0,0,2,24,-94303.76606280492,-94182.24577575065,False,239.40131900000415,
0,0,1,1,0,0,24,-94374.11011269774,-94259.73807782315,False,49.948035499997786,
0,0,1,1,0,1,24,-94639.4490816523,-94517.92879459803,False,66.17104200000176,
0,0,1,1,0,2,24,-94524.34536046891,-94395.67682123499,False,256.34882300000027,
0,0,1,2,0,0,24,-94618.19020258816,-94496.66991553389,False,210.80573529999674,
0,0,1,2,0,1,24,-94718.93863501513,-94590.2700957812,False,222.61665540000104,
0,0,1,2,0,2,24,-94837.91025778881,-94702.09346637521,False,263.5382344999962,
0,0,2,0,0,0,24,-93492.33159719208,-93377.95956231748,False,12.118747100001201,
0,0,2,0,0,1,24,-94142.4622982096,-94020.94201115533,False,71.21086560000549,
0,0,2,0,0,2,24,-94299.6648783917,-94170.99633915778,False,281.2108733999994,
0,0,2,1,0,0,24,-94368.59298393576,-94247.07269688149,False,54.26043660000141,
0,0,2,1,0,1,24,-94634.51727830345,-94505.84873906952,False,79.69423320000351,
0,0,2,1,0,2,24,-94520.09161834093,-94384.27482692733,False,304.4188402,
0,0,2,2,0,0,24,-94612.62001688553,-94483.9514776516,False,229.2892778000023,
0,0,2,2,0,1,24,-94713.72982699759,-94577.91303558399,False,230.53756099999737,
0,0,2,2,0,2,24,-94833.38277780385,-94690.4177342106,False,313.14844289999746,
0,0,3,0,0,0,24,-93486.2758215638,-93364.75553450953,False,12.618814699999348,
0,0,3,0,0,1,24,-94143.62293343488,-94014.95439420095,False,70.46011209999415,
0,0,3,0,0,2,24,-94298.35684541178,-94162.54005399818,False,281.99294309999823,
0,0,3,1,0,0,24,-94371.21616768057,-94242.54762844664,False,56.26157830000011,
0,0,3,1,0,1,24,-94634.38318868261,-94498.56639726901,False,82.6449924999979,
0,0,3,1,0,2,24,-94519.18632380276,-94376.2212802095,False,297.6668531000032,
0,0,3,2,0,0,24,-94611.76609342181,-94475.94930200822,False,241.81388940000033,
0,0,3,2,0,1,24,-94712.29619908417,-94569.33115549092,False,244.98579859999882,
0,0,3,2,0,2,24,-94832.98767136125,-94682.87437558833,False,304.61578340000415,
1,0,0,0,0,0,24,-93388.35602562923,-93281.13224293428,False,10.637738999997964,
1,0,0,0,0,1,24,-94075.69904730073,-93961.32701242613,False,59.185334200003126,
1,0,0,0,0,2,24,-94232.3966942852,-94110.87640723093,False,232.18351899999834,
1,0,0,1,0,0,24,-94322.30457533963,-94207.93254046503,False,58.49786029999814,
1,0,0,1,0,1,24,-94580.55707436928,-94459.03678731501,False,61.854950399996596,
1,0,0,1,0,2,24,-94455.29427791334,-94326.62573867942,False,246.20465780000086,
1,0,0,2,0,0,24,-94569.73345299668,-94448.2131659424,False,235.9042946000045,
1,0,0,2,0,1,24,-94665.2851423164,-94536.61660308247,False,246.2269021999964,
1,0,0,2,0,2,24,-94773.07498371019,-94637.25819229659,False,257.3887878000023,
1,0,1,0,0,0,24,-93492.29538355678,-93377.92334868218,False,11.06489110000257,
1,0,1,0,0,1,24,-94143.6361945562,-94022.11590750192,False,60.19066480000038,
1,0,1,0,0,2,24,-94300.76577000174,-94172.09723076782,False,249.75174459999835,
1,0,1,1,0,0,24,-94370.36411439488,-94248.8438273406,False,63.39551769999525,
1,0,1,1,0,1,24,-94636.01873971672,-94507.35020048279,False,69.2633319000015,
1,0,1,1,0,2,24,-94521.27727560904,-94385.46048419544,False,268.05011679999734,
1,0,1,2,0,0,24,-94614.3996702842,-94485.73113105027,False,259.10745830000087,
1,0,1,2,0,1,24,-94715.34918964007,-94579.53239822647,False,263.38186470000073,
1,0,1,2,0,2,24,-94834.71432959769,-94691.74928600443,False,278.1319230000008,
1,0,2,0,0,0,24,-93491.06194457537,-93369.5416575211,False,13.383696700002474,
1,0,2,0,0,1,24,-94141.76141488516,-94013.09287565123,False,73.95123149999563,
1,0,2,0,0,2,24,-94298.46588507846,-94162.64909366486,False,295.5282184000025,
1,0,2,1,0,0,24,-94367.80987351715,-94239.14133428322,False,65.65219960000104,
1,0,2,1,0,1,24,-94633.25343179885,-94497.43664038525,False,84.42469469999924,
1,0,2,1,0,2,24,-94518.86913606542,-94375.90409247216,False,316.61376259999815,
1,0,2,2,0,0,24,-94611.0926602419,-94475.2758688283,False,271.01458640000055,
1,0,2,2,0,1,24,-94712.1415275977,-94569.17648400445,False,275.8249763999993,
1,0,2,2,0,2,24,-94832.07894845415,-94681.96565268123,False,326.66024879999895,
1,0,3,0,0,0,24,170797.41256461924,170926.08110385318,False,6.218039899998985,
1,0,3,0,0,1,24,116485.6975215225,116621.5143129361,False,32.47231219999958,
1,0,3,0,0,2,24,111074.76821642232,111217.73326001558,False,127.27805980000267,
1,0,3,1,0,0,24,89157.98172547166,89293.79851688526,False,70.28111239999998,
1,0,3,1,0,1,24,88039.08687606108,88182.05191965433,False,76.7748930999951,
1,0,3,1,0,2,24,102975.82051105393,103125.93380682684,False,331.39952800000174,
1,0,3,2,0,0,24,75893.43703999527,76036.40208358853,False,270.18199079999613,
1,0,3,2,0,1,24,78661.4216117013,78811.53490747421,False,287.61060949999955,
1,0,3,2,0,2,24,94109.84236783383,94267.10391578641,False,337.62809299999935,
2,0,0,0,0,0,24,-93492.68757359756,-93378.31553872296,False,11.29159559999971,
2,0,0,0,0,1,24,-94147.58141719807,-94026.0611301438,False,58.182734300004086,
2,0,0,0,0,2,24,-94299.43661719716,-94170.76807796324,False,238.77234150000004,
2,0,0,1,0,0,24,-94372.3432153046,-94250.82292825033,False,60.326302600005874,
2,0,0,1,0,1,24,-94632.92997883614,-94504.26143960221,False,66.0622211000009,
2,0,0,1,0,2,24,-94519.2083321614,-94383.3915407478,False,242.10522050000145,
2,0,0,2,0,0,24,-94608.12289406871,-94479.45435483479,False,242.51628599999822,
2,0,0,2,0,1,24,-94708.49434927094,-94572.67755785734,False,278.6706617000018,
2,0,0,2,0,2,24,-94830.91059876367,-94687.94555517042,False,279.7709293000007,
2,0,1,0,0,0,24,-93491.70862250161,-93370.18833544734,False,11.497451399998681,
2,0,1,0,0,1,24,-94145.35983137815,-94016.69129214423,False,66.03497880000214,
2,0,1,0,0,2,24,-94298.53927708737,-94162.72248567377,False,288.706508700001,
2,0,1,1,0,0,24,-94370.40811180319,-94241.73957256926,False,85.50625600000058,
2,0,1,1,0,1,24,-94632.3186658,-94496.5018743864,False,92.23703480000404,
2,0,1,1,0,2,24,-94518.455480537,-94375.49043694374,False,335.5923496999967,
2,0,1,2,0,0,24,-94608.1981486911,-94472.3813572775,False,313.9740160000001,
2,0,1,2,0,1,24,-94708.76016028576,-94565.7951166925,False,321.49714849999873,
2,0,1,2,0,2,24,-94830.58895054128,-94680.47565476836,False,330.19122960000095,
2,0,2,0,0,0,24,-93490.81931760444,-93362.15077837052,False,15.322822100002668,
2,0,2,0,0,1,24,-94143.22036236695,-94007.40357095335,False,87.74755649999861,
2,0,2,0,0,2,24,-94296.93276000557,-94153.96771641231,False,346.4459938000073,
2,0,2,1,0,0,24,-94368.03407598316,-94232.21728456956,False,81.44136179999623,
2,0,2,1,0,1,24,-94630.63028815087,-94487.66524455762,False,100.10548990000098,
2,0,2,1,0,2,24,-94516.88099459384,-94366.76769882093,False,364.65067940000154,
2,0,2,2,0,0,24,-94606.65947435964,-94463.69443076638,False,336.17011620000994,
2,0,2,2,0,1,24,-94707.39221401647,-94557.27891824355,False,337.09355909998703,
2,0,2,2,0,2,24,-94829.07408677076,-94671.81253881818,False,392.82770990001154,
2,0,3,0,0,0,24,-92478.49896125856,-92342.68216984496,False,7.355862199998228,
2,0,3,0,0,1,24,-93243.63140965573,-93100.66636606248,False,40.492485800001305,
2,0,3,0,0,2,24,-93383.54458893326,-93233.43129316035,False,155.80387180000253,
2,0,3,1,0,0,24,-93490.3861918127,-93347.42114821944,False,38.97214579999854,
2,0,3,1,0,1,24,-93750.17210817305,-93600.05881240014,False,47.13571599998977,
