p,d,q,P,D,Q,s,aic,bic,converged,fit_seconds,error
0,0,0,0,0,0,24,-92086.70192679961,-91986.62639628432,False,25.601866199998767,
0,0,0,0,0,1,24,-93027.9580354763,-92920.73425278136,False,29.570808399999805,
0,0,0,0,0,2,24,-93071.65268714906,-92957.28065227446,False,98.17845099999977,
0,0,0,1,0,0,24,-93038.52625677182,-92931.30247407687,False,19.01010479999968,
0,0,0,1,0,1,24,-93033.9121526076,-92919.540117733,False,24.81116660000407,
0,0,0,1,0,2,24,-93078.12369619543,-92956.60340914116,False,102.05597539999872,
0,0,0,2,0,0,24,-93101.94251113952,-92987.57047626493,False,85.4390287999995,
0,0,0,2,0,1,24,-93089.26969769213,-92967.74941063786,False,89.324715499999,
0,0,0,2,0,2,24,-93117.23196197007,-92988.56342273614,False,109.81862449999608,
0,0,1,0,0,0,24,-93495.4346588696,-93388.21087617466,False,11.079588200002036,
0,0,1,0,0,1,24,-93579.24542298896,-93464.87338811436,False,26.20993399999861,
0,0,1,0,0,2,24,-93616.20220748047,-93494.6819204262,False,105.06266250000044,
0,0,1,1,0,0,24,-93587.79138332637,-93473.41934845177,False,21.11347079999541,
0,0,1,1,0,1,24,-93584.6446048445,-93463.12431779024,False,27.779825500001607,
0,0,1,1,0,2,24,-93621.40424020268,-93492.73570096875,False,109.66386939999938,
0,0,1,2,0,0,24,-93638.48172979846,-93516.96144274418,False,90.25491260000126,
0,0,1,2,0,1,24,-93630.8134112522,-93502.14487201827,False,96.35463490000257,
0,0,1,2,0,2,24,-93660.2747780366,-93524.457986623,False,114.84002170000167,
0,0,2,0,0,0,24,-93495.97359959435,-93381.60156471975,False,13.28196740000567,
0,0,2,0,0,1,24,-93578.74676448619,-93457.22647743192,False,31.871933200003696,
0,0,2,0,0,2,24,-93615.80567410904,-93487.13713487511,False,124.22915859999921,
0,0,2,1,0,0,24,-93587.31852492061,-93465.79823786634,False,21.989114199997857,
0,0,2,1,0,1,24,-93584.1428486933,-93455.47430945937,False,33.52687700000388,
0,0,2,1,0,2,24,-93620.9776139711,-93485.1608225575,False,130.52290429999994,
0,0,2,2,0,0,24,-93638.00164872466,-93509.33310949073,False,96.11104669999622,
0,0,2,2,0,1,24,-93630.28108383491,-93494.46429242131,False,100.06746199999907,
0,0,2,2,0,2,24,-93659.47819272114,-93516.51314912789,False,136.3861037999959,
0,0,3,0,0,0,24,-93504.51112454392,-93382.99083748965,False,13.93134270000155,
0,0,3,0,0,1,24,-93581.6324870746,-93452.96394784068,False,31.42870810000022,
0,0,3,0,0,2,24,-93622.30177439496,-93486.48498298136,False,121.49893929999962,
0,0,3,1,0,0,24,-93590.78069071751,-93462.11215148358,False,23.301887499997974,
0,0,3,1,0,1,24,-93587.35960809083,-93451.54281667723,False,32.7974572000021,
0,0,3,1,0,2,24,-93627.38932145174,-93484.42427785849,False,127.9697840000008,
0,0,3,2,0,0,24,-93646.63198195613,-93510.81519054253,False,98.4841271999976,
0,0,3,2,0,1,24,-93638.50819635039,-93495.54315275713,False,105.38691739999922,
0,0,3,2,0,2,24,-93665.58137621483,-93515.46808044192,False,135.1427807,
1,0,0,0,0,0,24,-93477.2445272571,-93370.02074456216,False,4.147128900003736,
1,0,0,0,0,1,24,-93555.7331433648,-93441.36110849021,False,24.463987900002394,
1,0,0,0,0,2,24,-93592.2872688575,-93470.76698180323,False,100.45388970000204,
1,0,0,1,0,0,24,-93564.3035289408,-93449.9314940662,False,24.576076800003648,
1,0,0,1,0,1,24,-93561.02260565385,-93439.50231859958,False,26.023852099999203,
1,0,0,1,0,2,24,-93597.42710269352,-93468.75856345959,False,107.435252400006,
1,0,0,2,0,0,24,-93613.56656588733,-93492.04627883306,False,101.53710349999892,
1,0,0,2,0,1,24,-93605.4876857975,-93476.81914656358,False,107.37077220000356,
1,0,0,2,0,2,24,-93634.32985191123,-93498.51306049763,False,113.68920259999868,
1,0,1,0,0,0,24,-93495.72808709292,-93381.35605221833,False,12.826655600001686,
1,0,1,0,0,1,24,-93578.55340865228,-93457.03312159801,False,27.02377940000588,
1,0,1,0,0,2,24,-93615.59013994384,-93486.92160070992,False,109.37305680000281,
1,0,1,1,0,0,24,-93587.12311343671,-93465.60282638244,False,26.031821900003706,
1,0,1,1,0,1,24,-93583.94847104824,-93455.27993181431,False,28.61305710000306,
1,0,1,1,0,2,24,-93620.76670830908,-93484.94991689548,False,115.02295369999774,
1,0,1,2,0,0,24,-93637.77332866682,-93509.1047894329,False,106.65230859999429,
1,0,1,2,0,1,24,-93630.04976364414,-93494.23297223054,False,112.94567610000377,
1,0,1,2,0,2,24,-93659.28148859399,-93516.31644500073,False,121.00132019999728,
1,0,2,0,0,0,24,-93494.52925208422,-93373.00896502995,False,14.031774200004293,
1,0,2,0,0,1,24,-93577.14990324296,-93448.48136400903,False,33.49634149999474,
1,0,2,0,0,2,24,-93614.30676457834,-93478.48997316475,False,129.9142581000051,
1,0,2,1,0,0,24,-93585.73722720041,-93457.06868796649,False,27.499109100004716,
1,0,2,1,0,1,24,-93582.55494349502,-93446.73815208142,False,35.06823639999493,
1,0,2,1,0,2,24,-93619.47681787575,-93476.5117742825,False,135.57426560000022,
1,0,2,2,0,0,24,-93636.56213259706,-93500.74534118346,False,112.52143709999655,
1,0,2,2,0,1,24,-93628.83024804146,-93485.8652044482,False,118.59139420000429,
1,0,2,2,0,2,24,-93657.97008235872,-93507.8567865858,False,143.1198796000026,
1,0,3,0,0,0,24,-93498.13286870178,-93369.46432946785,False,14.158218599994143,
1,0,3,0,0,1,24,-93577.25075035858,-93441.43395894498,False,32.78694420000102,
1,0,3,0,0,2,24,-93617.67957960538,-93474.71453601212,False,128.27460170000268,
1,0,3,1,0,0,24,-93586.33136892976,-93450.51457751617,False,29.177207399996405,
1,0,3,1,0,1,24,-93582.97170122256,-93440.0066576293,False,34.83692929999961,
1,0,3,1,0,2,24,-93622.7298266599,-93472.61653088698,False,134.43815300000279,
1,0,3,2,0,0,24,-93641.82648424315,-93498.8614406499,False,118.77263780000067,
1,0,3,2,0,1,24,-93633.93930455038,-93483.82600877747,False,123.34052399999928,
1,0,3,2,0,2,24,-93661.05810107116,-93503.79655311858,False,139.63124079999398,
2,0,0,0,0,0,24,-93500.93153673336,-93386.55950185876,False,11.751854300004197,
2,0,0,0,0,1,24,-93582.9250275323,-93461.40474047803,False,25.923904300005233,
2,0,0,0,0,2,24,-93621.14817525652,-93492.47963602259,False,106.31321709999611,
2,0,0,1,0,0,24,-93591.66998341584,-93470.14969636156,False,27.413147300001583,
2,0,0,1,0,1,24,-93588.44175459178,-93459.77321535785,False,28.775936699996237,
2,0,0,1,0,2,24,-93626.2970235663,-93490.4802321527,False,112.50794589999714,
2,0,0,2,0,0,24,-93644.10360285,-93515.43506361607,False,107.85694389999844,
2,0,0,2,0,1,24,-93636.34218053013,-93500.52538911653,False,114.77130680000118,
