term,coef,std_err,p_value,ci_lower,ci_upper
power,0.0009921398179224283,5.724288543982007e-07,0.0,0.0009910178779840963,0.0009932617578607603
temperature,-2.529737660096604e-05,1.309703844157733e-05,0.053417034237871225,-5.0967100250594205e-05,3.723470486621225e-07
humidity,-7.449560588016051e-06,1.7499688753600606e-06,2.0721848630682206e-05,-1.0879436557787833e-05,-4.019684618244269e-06
rainfall,-1.0659711444056903e-05,3.1836218925619845e-05,0.7377535594944673,-7.305755394220426e-05,5.173813105409046e-05
sin_hour,4.0958889718835965e-17,8.207570013195902e-13,0.9999601825318966,-1.6086132037557715e-12,1.608695121535209e-12
cos_hour,-1.4466737682624036e-16,4.563798388433324e-13,0.9997470793960115,-8.946327147799516e-13,8.943433800262991e-13
sin_day_of_week,7.03745879629283e-05,3.7028547743995e-05,0.05736104526549655,-2.2000320151237734e-06,0.00014294920794098037
cos_day_of_week,1.8566436732681027e-05,2.8071004942403413e-05,0.5083495664033733,-3.645172196427552e-05,7.358459542963757e-05
is_weekend,3.0032677553734157e-05,4.133872612292509e-05,0.4675309284686705,-5.098973681396411e-05,0.00011105509192143243
lag_24,-0.002856486444490833,0.0005975851797787107,1.7525247079408553e-06,-0.004027731874552,-0.0016852410144296667
lag_168,0.001048187863589562,0.000510552164913516,0.040067967550121285,4.752400813011655e-05,0.0020488517190490074
rolling_mean_24,0.013863851054234487,0.004192063533992705,0.000942449399048128,0.005647557506705083,0.02208014460176389
rolling_mean_168,0.38452880270467926,0.020165429660925042,4.594691684922301e-81,0.34500528683649045,0.42405231857286807
ar.L1,-0.9988008250514469,0.04846066111991823,2.2071482386901836e-94,-1.093781975513487,-0.9038196745894066
ar.L2,-0.7256079334085684,0.03734310443002979,4.233665040056258e-84,-0.798799073162345,-0.6524167936547919
ar.L3,-0.1929336030228245,0.010423793511276204,1.7483570990104752e-76,-0.21336386288720818,-0.17250334315844082
ma.L1,-0.23618626436441234,0.04876466942477186,1.2764303038776844e-06,-0.3317632601549667,-0.14060926857385794
ma.L2,-0.13266410102144374,0.05392179593740983,0.013881872228190062,-0.2383488790404852,-0.026979323002402272
ma.L3,-0.36388847751095715,0.03205232614910401,7.170144327714266e-30,-0.4267098823839324,-0.3010670726379819
ma.S.L24,-0.8267539662843467,0.0030588404644455603,0.0,-0.8327491834291137,-0.8207587491395797
ma.S.L48,-0.1302145414437481,0.0033067448360023332,0.0,-0.1366956422283765,-0.12373344065911973
sigma2,9.051633969159095e-07,3.3484560696069613e-09,0.0,8.986005436156653e-07,9.117262502161536e-07
