p,d,q,P,D,Q,s,aic,bic,converged,fit_seconds,error
0,1,0,0,1,0,24,-88704.44744239622,-88604.40920346977,True,114.03750529999888,
0,1,0,0,1,1,24,-92877.28404929535,-92770.10022187416,False,68.637337199998,
0,1,0,0,1,2,24,-93566.10670950913,-93451.77729359319,False,175.07647740000175,
0,1,0,1,1,0,24,-90795.87115494924,-90688.68732752805,False,75.54625380000289,
0,1,0,1,1,1,24,-91921.68541354629,-91807.35599763035,False,77.76989640000102,
0,1,0,1,1,2,24,-94033.24471066702,-93911.76970625632,False,184.30527600000278,
0,1,0,2,1,0,24,-92218.99655497563,-92104.66713905969,False,213.48407649999717,
0,1,0,2,1,1,24,-92448.12989622829,-92326.6548918176,False,220.70667540000068,
0,1,0,2,1,2,24,-93392.87997144976,-93264.25937854432,False,194.10139810000328,
0,1,1,0,1,0,24,-88716.62414123832,-88609.44031381713,False,67.41113179999957,
0,1,1,0,1,1,24,-93117.80972396742,-93003.48030805148,False,71.8766695000013,
0,1,1,0,1,2,24,-94406.56666911837,-94285.09166470768,False,190.67398900000262,
0,1,1,1,1,0,24,-89071.22771389912,-88956.89829798318,False,69.83409989999927,
0,1,1,1,1,1,24,-90990.5353075767,-90869.06030316601,False,81.07427420000022,
0,1,1,1,1,2,24,-94325.09368084022,-94196.47308793478,False,203.13457899999776,
0,1,1,2,1,0,24,-91366.3052323366,-91244.83022792591,False,203.95202410000275,
0,1,1,2,1,1,24,-91710.54856974697,-91581.92797684153,False,208.40244969999912,
0,1,1,2,1,2,24,-93093.94913385104,-92958.18295245086,False,217.15246310000293,
0,1,2,0,1,0,24,-98036.58118387187,-97922.25176795592,False,35.177660500001366,
0,1,2,0,1,1,24,-102682.71238840865,-102561.23738399796,True,372.9993117999984,
0,1,2,0,1,2,24,-103608.54549877744,-103479.924905872,False,823.9352942999976,
0,1,2,1,1,0,24,-100123.6479970616,-100002.17299265091,True,596.552754100001,
0,1,2,1,1,1,24,-100579.33119773446,-100450.71060482902,False,78.95559720000165,
0,1,2,1,1,2,24,-103549.88854837004,-103414.12236696987,True,670.695882699998,
0,1,2,2,1,0,24,-100725.53214511805,-100596.91155221261,False,188.06194120000146,
0,1,2,2,1,1,24,-100864.59030118007,-100728.82411977989,False,198.91902589999881,
0,1,2,2,1,2,24,-101334.45101292332,-101191.5392430284,False,223.76163930000257,
0,1,3,0,1,0,24,-98100.52750964678,-97979.05250523609,False,42.766354300001694,
0,1,3,0,1,1,24,-102699.85063754195,-102571.23004463651,False,443.31785279999895,
0,1,3,0,1,2,24,-103640.98500303262,-103505.21882163244,False,893.8039516999997,
0,1,3,1,1,0,24,-100182.8037599339,-100054.18316702846,True,786.2625240000016,
0,1,3,1,1,1,24,-100770.06639146945,-100634.30021006927,False,88.16733770000064,
0,1,3,1,1,2,24,-103579.75330107071,-103436.84153117579,False,997.0840280000011,
0,1,3,2,1,0,24,-101591.74817797751,-101455.98199657733,True,1390.8613402999981,
0,1,3,2,1,1,24,-101059.08032269888,-100916.16855280395,False,204.1905850999974,
0,1,3,2,1,2,24,-101532.93611909404,-101382.87876070436,False,246.87362790000043,
1,1,0,0,1,0,24,-93724.9264186398,-93617.74259121862,True,123.51466989999972,
1,1,0,0,1,1,24,-97450.29951092583,-97335.97009500989,False,62.39302019999741,
1,1,0,0,1,2,24,-97994.47419953089,-97872.9991951202,False,174.4018584000005,
1,1,0,1,1,0,24,-95690.1524330771,-95575.82301716116,False,62.55912439999884,
1,1,0,1,1,1,24,-96572.24474597484,-96450.76974156415,False,68.18160670000361,
1,1,0,1,1,2,24,-97958.24236621453,-97829.62177330909,False,184.42877570000564,
1,1,0,2,1,0,24,-96712.43536340672,-96590.96035899603,False,179.37677930000063,
1,1,0,2,1,1,24,-96876.32881633777,-96747.70822343233,False,189.56808080000337,
1,1,0,2,1,2,24,-97417.07785126215,-97281.31166986197,False,199.51260529999854,
1,1,1,0,1,0,24,-97658.86760811432,-97544.53819219838,False,36.82970519999799,
1,1,1,0,1,1,24,-100980.95011032555,-100859.47510591485,False,71.69036600000254,
1,1,1,0,1,2,24,-103372.02965374291,-103243.40906083747,False,695.7047296000019,
1,1,1,1,1,0,24,-99396.89731598448,-99275.42231157378,True,54.970107900000585,
1,1,1,1,1,1,24,-100185.28405389756,-100056.66346099212,False,77.44746470000246,
1,1,1,1,1,2,24,-103307.32768082054,-103171.56149942036,False,710.3889787999942,
1,1,1,2,1,0,24,-100322.79232027719,-100194.17172737175,False,189.4400839000009,
1,1,1,2,1,1,24,-100462.97829815744,-100327.21211675726,False,198.62553730000218,
1,1,1,2,1,2,24,-100943.62319195582,-100800.7114220609,False,222.1997976000057,
1,1,2,0,1,0,24,-97673.48299890204,-97552.00799449135,False,37.093737499999406,
1,1,2,0,1,1,24,-101211.7361142569,-101083.11552135146,True,449.4259380000003,
1,1,2,0,1,2,24,-101966.16647312988,-101830.4002917297,True,810.0694841000004,
1,1,2,1,1,0,24,-99310.8420228009,-99182.22142989546,False,137.5366697999998,
1,1,2,1,1,1,24,-99882.67203953654,-99746.90585813636,False,247.16566890000104,
1,1,2,1,1,2,24,-101793.07037741301,-101650.15860751808,True,1014.0600651999994,
1,1,2,2,1,0,24,-100407.85474111157,-100272.0885597114,False,1590.1682885000046,
1,1,2,2,1,1,24,-100421.24460999083,-100278.3328400959,True,1489.6785872000037,
1,1,2,2,1,2,24,-100268.19797273217,-100118.1406143425,False,231.3718332999997,
1,1,3,0,1,0,24,-98133.74347051987,-98005.12287761443,False,43.83330479999859,
1,1,3,0,1,1,24,-102716.2370875843,-102580.47090618413,True,495.92286220000096,
1,1,3,0,1,2,24,-103615.120456226,-103472.20868633107,True,852.8037846000007,
1,1,3,1,1,0,24,-100179.75640470441,-100043.99022330424,True,1040.6302720999956,
1,1,3,1,1,1,24,-100845.58876279197,-100702.67699289705,False,99.31344209999952,
1,1,3,1,1,2,24,-103555.7253026726,-103405.66794428292,True,1041.6899894999951,
1,1,3,2,1,0,24,-101002.47699991064,-100859.56523001571,False,218.18530139999348,
1,1,3,2,1,1,24,-101149.94797120598,-100999.8906128163,False,239.85452899999655,
1,1,3,2,1,2,24,-101637.91820066766,-101480.71525378323,False,282.85821679999935,
2,1,0,0,1,0,24,-95683.95941670828,-95569.63000079234,False,41.91294889999699,
2,1,0,0,1,1,24,-99438.02165910703,-99316.54665469634,False,72.87291659999755,
2,1,0,0,1,2,24,-101359.70213490797,-101231.08154200253,True,977.3008811999971,
2,1,0,1,1,0,24,-97691.64272480499,-97570.1677203943,False,98.04209300000366,
2,1,0,1,1,1,24,-98564.24937687058,-98435.62878396513,False,94.33473199999571,
2,1,0,1,1,2,24,-99934.96089908457,-99799.1947176844,False,231.6771200000003,
2,1,0,2,1,0,24,-98654.88181567413,-98526.26122276869,False,228.17283770000358,
2,1,0,2,1,1,24,-98823.29557293672,-98687.52939153655,False,229.73176180000155,
2,1,0,2,1,2,24,-99375.28115266903,-99232.36938277411,False,239.04244880000624,
2,1,1,0,1,0,24,-97606.74821623972,-97485.27321182903,False,41.497496500000125,
2,1,1,0,1,1,24,-100949.78082418453,-100821.1602312791,False,87.04552150000382,
2,1,1,0,1,2,24,-103212.87511600224,-103077.10893460206,False,877.5500248000026,
2,1,1,1,1,0,24,-99352.69466846425,-99224.0740755588,False,87.36720369999966,
2,1,1,1,1,1,24,-100144.86419565103,-100009.09801425085,False,89.15622179999627,
2,1,1,1,1,2,24,-103141.58092068098,-102998.66915078605,False,1118.821575599999,
2,1,1,2,1,0,24,-100284.2727188033,-100148.50653740313,False,224.3711547999992,
2,1,1,2,1,1,24,-100424.07417775113,-100281.1624078562,False,234.96247450000374,
2,1,1,2,1,2,24,-100911.53247008575,-100761.47511169607,False,226.67652280000038,
2,1,2,0,1,0,24,-98105.72867029038,-97977.10807738494,False,42.552129100004095,
2,1,2,0,1,1,24,-102690.7182143954,-102554.95203299522,True,419.2135275999972,
2,1,2,0,1,2,24,-103604.65541179528,-103461.74364190035,True,705.769919600003,
2,1,2,1,1,0,24,-100205.48077355504,-100069.71459215487,True,1061.1122278999974,
2,1,2,1,1,1,24,-100887.53413527891,-100744.62236538398,False,82.89028379999945,
2,1,2,1,1,2,24,-103552.77951661794,-103402.72215822827,True,825.2673641000001,
2,1,2,2,1,0,24,-101029.8198803617,-100886.90811046677,False,217.7535355,
2,1,2,2,1,1,24,-101181.45843498764,-101031.40107659796,False,225.7393446999995,
2,1,2,2,1,2,24,-101670.22239331962,-101513.0194464352,False,233.55910479999875,
2,1,3,0,1,0,24,-98086.87838131531,-97951.11219991514,True,162.87771480000083,
2,1,3,0,1,1,24,-102678.31434606711,-102535.40257617219,True,447.1636049000008,
2,1,3,0,1,2,24,-103589.23025892554,-103439.17290053586,True,773.391916499997,
2,1,3,1,1,0,24,-100176.92855989328,-100034.01678999835,True,1055.2306623999975,
2,1,3,1,1,1,24,-100845.96186189595,-100695.90450350627,False,96.99444149999908,
2,1,3,1,1,2,24,-103523.9148218819,-103366.71187499748,True,831.1659997999959,
2,1,3,2,1,0,24,-101427.48899160948,-101277.4316332198,False,2116.1857796999975,
2,1,3,2,1,1,24,-101138.9792558521,-100981.77630896767,False,235.41736840000522,
2,1,3,2,1,2,24,-101625.55211834,-101461.20358296084,False,260.24908290000167,
3,1,0,0,1,0,24,-96708.17825036787,-96586.70324595718,False,36.228833200002555,
3,1,0,0,1,1,24,-100408.17859117495,-100279.5579982695,False,68.46211619999667,
3,1,0,0,1,2,24,-102237.76631528036,-102102.00013388018,True,1048.5147100999966,
3,1,0,1,1,0,24,-98658.98251265072,-98530.36191974528,False,76.59238200000254,
3,1,0,1,1,1,24,-99518.42660028697,-99382.6604188868,False,80.1378251999995,
3,1,0,1,1,2,24,-100909.27937929414,-100766.36760939921,False,198.99492200000532,
3,1,0,2,1,0,24,-99645.90758929608,-99510.1414078959,False,208.17741580000438,
3,1,0,2,1,1,24,-99796.64351070503,-99653.73174081011,False,217.3750665999978,
3,1,0,2,1,2,24,-100346.29293214218,-100196.2355737525,False,228.75881970000046,
3,1,1,0,1,0,24,-97498.40886536104,-97369.7882724556,False,38.05490870000358,
3,1,1,0,1,1,24,-100873.77660715832,-100738.01042575814,False,77.67686899999535,
3,1,1,0,1,2,24,-103057.01813601352,-102914.10636611859,True,734.155889499998,
3,1,1,1,1,0,24,-99254.74853291982,-99118.98235151965,False,80.83081599999423,
3,1,1,1,1,1,24,-100054.23198507336,-99911.32021517844,False,83.70570349999616,
3,1,1,1,1,2,24,-102992.75533958196,-102842.69798119228,True,832.0987924000001,
3,1,1,2,1,0,24,-100202.77621754835,-100059.86444765342,False,215.17294279999624,
3,1,1,2,1,1,24,-100340.79145576578,-100190.7340973761,False,226.50927030000457,
3,1,1,2,1,2,24,-100836.14627838129,-100678.94333149686,False,232.92687260000093,
3,1,2,0,1,0,24,-88698.00452638252,-88562.23834498234,False,58.6809179999982,
3,1,2,0,1,1,24,-92189.58219829903,-92046.6704284041,False,83.84428600000683,
3,1,2,0,1,2,24,-93799.98120286982,-93649.92384448014,False,222.54544760000135,
3,1,2,1,1,0,24,-90732.04816821369,-90589.13639831876,True,196.81055019999621,
3,1,2,1,1,1,24,-89546.87888478566,-89396.82152639599,False,89.58551879999868,
3,1,2,1,1,2,24,-93695.85181155545,-93538.64886467102,False,232.74346309999237,
3,1,2,2,1,0,24,-90013.62261926637,-89863.5652608767,False,227.60010759999568,
3,1,2,2,1,1,24,-90442.50624725674,-90285.30330037231,False,249.20596300000034,
3,1,2,2,1,2,24,-92163.65184314523,-91999.30330776607,False,244.08436449999863,
3,1,3,0,1,0,24,-98127.7472933915,-97984.83552349657,False,53.01124459999846,
3,1,3,0,1,1,24,-102710.65643898549,-102560.59908059581,True,533.982184499997,
3,1,3,0,1,2,24,-103617.81467098347,-103460.61172409904,True,868.2111895999988,
3,1,3,1,1,0,24,-100192.49287642786,-100042.43551803818,True,1335.8197142999998,
3,1,3,1,1,1,24,-100898.94338341031,-100741.74043652588,False,101.9567798999924,
3,1,3,1,1,2,24,-103554.62600788623,-103390.27747250706,True,1076.4079595000076,
3,1,3,2,1,0,24,-101041.51360851261,-100884.31066162819,False,239.41541549999965,
3,1,3,2,1,1,24,-101192.6088461576,-101028.26031077844,False,246.499779699996,
3,1,3,2,1,2,24,-101690.79004970507,-101519.29592583116,False,275.6997399999964,
