term,coef,std_err,p_value,ci_lower,ci_upper
power,0.0009997055599592916,5.68122594318812e-07,0.0,0.0009985920601356232,0.00100081905978296
temperature,-5.064461645756539e-06,8.152844690894846e-06,0.5344749368030868,-2.1043743611459025e-05,1.0914820319945948e-05
humidity,-2.051914372232226e-06,1.6633840225441796e-06,0.2173600972137366,-5.312087148878179e-06,1.2082584044137271e-06
rainfall,-2.24316552978371e-05,2.9862663984403172e-05,0.45255603499838204,-8.09614011896887e-05,3.609809059401451e-05
hour_of_day,1.1024654361186778e-06,3.2325748625017584e-06,0.7330669240911057,-5.233264871714286e-06,7.438195743951642e-06
day_of_week,-9.340617939753664e-06,1.2808996118468931e-05,0.46586510368337186,-3.444578901006612e-05,1.5764553130558785e-05
is_weekend,0.00012345469921377743,5.6251642518295906e-05,0.02818612087162964,1.3203505806695467e-05,0.0002337058926208594
lag_24,-0.0003468226282974454,0.0005971740200034605,0.5613933628645336,-0.0015172622000072299,0.000823616943412339
lag_168,-0.00013914950812635857,0.00040951719747757973,0.7340153052063091,-0.0009417884662321919,0.0006634894499794748
rolling_mean_24,0.0006103292796599217,0.0011066712962414878,0.5812909296522657,-0.0015587066036976513,0.0027793651630174947
rolling_mean_168,0.002857179812482402,0.0021094067243842027,0.17557866599951766,-0.001277181396057243,0.006991541021022047
ar.L1,-0.6184074807658312,0.009132247446032544,0.0,-0.6363063568579629,-0.6005086046736995
ma.L1,0.45116483218396997,0.010307392670133546,0.0,0.4309627137759961,0.47136695059194383
ar.S.L24,0.4519117126245849,0.019459383365382728,2.646574888044879e-119,0.4137720220670769,0.4900514031820929
ma.S.L24,-0.2928458388054392,0.020133061161773394,6.2355433551102e-48,-0.33230591358105716,-0.2533857640298212
ma.S.L48,0.06394859712319179,0.005342609593446916,5.131024406904465e-33,0.05347727473657765,0.07441991950980592
sigma2,1.650811348515035e-06,6.820234986494684e-09,0.0,1.6374439335754054e-06,1.6641787634546647e-06
