p,d,q,P,D,Q,s,aic,bic,converged,fit_seconds,error
0,0,0,0,0,0,24,-86595.20690594503,-86509.72521267757,False,19.61996629999976,
0,0,0,0,0,1,24,-96070.77532310682,-95978.17015540041,False,25.487642199999755,
0,0,0,0,0,2,24,-96392.11411227158,-96292.38547012622,False,117.05821560000004,
0,0,0,1,0,0,24,-96306.13601565338,-96213.53084794697,False,25.79087040000013,
0,0,0,1,0,1,24,-96568.01481079255,-96468.28616864719,False,45.125059499999224,
0,0,0,1,0,2,24,-96648.11176077317,-96541.25964418886,False,167.93151399999988,
0,0,0,2,0,0,24,-96801.47695536262,-96701.74831321726,False,112.60952020000059,
0,0,0,2,0,1,24,-96919.88164089707,-96813.02952431276,False,127.32156130000021,
0,0,0,2,0,2,24,-97090.90467967064,-96976.92908864736,False,147.0905143,
0,0,1,0,0,0,24,-95869.25442391602,-95776.64925620961,False,6.054681799999344,
0,0,1,0,0,1,24,-96338.40681802771,-96238.67817588235,False,32.23252230000071,
0,0,1,0,0,2,24,-96637.96891833204,-96531.11680174773,False,156.03120649999983,
0,0,1,1,0,0,24,-96554.23616029666,-96454.5075181513,False,25.067501299999094,
0,0,1,1,0,1,24,-96767.05019125297,-96660.19807466866,False,38.90442470000016,
0,0,1,1,0,2,24,-96831.07079247829,-96717.09520145501,False,165.71418679999988,
0,0,1,2,0,0,24,-96943.9793232208,-96837.12720663649,False,125.32293019999997,
0,0,1,2,0,1,24,-97036.4822224623,-96922.50663143903,False,128.1631696000004,
0,0,1,2,0,2,24,-97197.36515203427,-97076.26608657204,False,156.3528207999998,
0,0,2,0,0,0,24,-95997.21597591882,-95897.48733377346,False,7.728576900000007,
0,0,2,0,0,1,24,-96447.94572671689,-96341.09361013258,False,41.33579970000028,
0,0,2,0,0,2,24,-96764.13869035561,-96650.16309933233,False,196.40043140000034,
0,0,2,1,0,0,24,-96657.86602730941,-96551.0139107251,False,35.68139450000035,
0,0,2,1,0,1,24,-96881.49597353832,-96767.52038251504,False,48.240376200000355,
0,0,2,1,0,2,24,-96949.93353962387,-96828.83447416165,True,150.11318850000043,
0,0,2,2,0,0,24,-97073.57745825706,-96959.60186723378,False,121.38409159999992,
0,0,2,2,0,1,24,-97163.51908315538,-97042.42001769315,False,128.54140189999998,
0,0,2,2,0,2,24,-97313.78649818679,-97185.56395828561,False,178.1824128999997,
0,0,3,0,0,0,24,-95959.83985381977,-95852.98773723545,False,6.171586000000389,
0,0,3,0,0,1,24,-96413.0314506345,-96299.05585961122,False,42.15281369999957,
0,0,3,0,0,2,24,-96724.80706108405,-96603.70799562182,False,147.45405130000017,
0,0,3,1,0,0,24,-96620.62855123912,-96506.65296021584,False,27.565806600000542,
0,0,3,1,0,1,24,-96841.98424997317,-96720.88518451095,False,45.31885890000012,
0,0,3,1,0,2,24,-96908.05036218555,-96779.82782228437,False,157.3374874000001,
0,0,3,2,0,0,24,-97023.34311402054,-96902.2440485583,False,135.12184369999977,
0,0,3,2,0,1,24,-97112.46445981445,-96984.24191991327,False,154.4870450999997,
0,0,3,2,0,2,24,-97268.33183522738,-97132.98582088725,False,206.09066930000063,
1,0,0,0,0,0,24,-95939.15901990578,-95846.55385219937,False,5.083368800000244,
1,0,0,0,0,1,24,-96402.05057544904,-96302.32193330368,False,35.87632810000014,
1,0,0,0,0,2,24,-96705.13454182696,-96598.28242524265,False,156.72702780000054,
1,0,0,1,0,0,24,-96614.29223735073,-96514.56359520537,False,31.989737999999306,
1,0,0,1,0,1,24,-96829.33637776559,-96722.48426118128,False,46.189427799999976,
1,0,0,1,0,2,24,-96893.6235090798,-96779.64791805652,False,184.9346728999999,
1,0,0,2,0,0,24,-97006.24837883921,-96899.3962622549,False,146.42225229999895,
1,0,0,2,0,1,24,-97097.0172194259,-96983.04162840263,False,166.3693884000004,
1,0,0,2,0,2,24,-97256.6382534086,-97135.53918794637,False,154.46661940000013,
1,0,1,0,0,0,24,-96102.2874982622,-96002.55885611684,False,5.790010599999732,
1,0,1,0,0,1,24,-96526.90722865533,-96420.05511207102,False,37.43184100000144,
1,0,1,0,0,2,24,-96822.7437252067,-96708.76813418342,False,142.11732099999972,
1,0,1,1,0,0,24,-96712.57513763878,-96605.72302105447,False,34.410908399999244,
1,0,1,1,0,1,24,-96936.11225924228,-96822.136668219,False,39.206631999999445,
1,0,1,1,0,2,24,-96997.94682435006,-96876.84775888783,True,114.65347470000052,
1,0,1,2,0,0,24,-97091.92651799586,-96977.95092697258,False,138.43382869999914,
1,0,1,2,0,1,24,-97181.29426072874,-97060.19519526651,False,162.16666720000103,
1,0,1,2,0,2,24,-97339.28702383101,-97211.06448392983,False,171.62684190000073,
1,0,2,0,0,0,24,-95991.2475611141,-95884.39544452979,False,6.31570180000017,
1,0,2,0,0,1,24,-96440.59778430875,-96326.62219328547,False,40.81650979999904,
1,0,2,0,0,2,24,-96755.42589990272,-96634.3268344405,False,158.17038729999877,
1,0,2,1,0,0,24,-96648.762733608,-96534.78714258473,False,33.483793699999296,
1,0,2,1,0,1,24,-96872.35168672544,-96751.25262126321,False,48.479805699998906,
1,0,2,1,0,2,24,-96940.20246399491,-96811.97992409373,False,166.38485559999936,
1,0,2,2,0,0,24,-97061.25565582584,-96940.15659036361,False,149.18271379999896,
1,0,2,2,0,1,24,-97151.0391961101,-97022.81665620892,False,170.27895650000028,
1,0,2,2,0,2,24,-97302.31963347098,-97166.97361913085,False,192.09995089999939,
1,0,3,0,0,0,24,-95948.59469085725,-95834.61909983397,False,7.501746500000081,
1,0,3,0,0,1,24,-96402.57010424612,-96281.47103878389,False,42.365619199999855,
1,0,3,0,0,2,24,-96714.93110419065,-96586.70856428947,False,170.0743833000015,
1,0,3,1,0,0,24,-96610.56900648662,-96489.46994102439,False,37.36136699999952,
1,0,3,1,0,1,24,-96832.20708180568,-96703.9845419045,False,49.58351220000077,
