term,coef,std_err,p_value,ci_lower,ci_upper
power,0.0009936953122092584,4.155953067547371e-06,0.0,0.0009855497938754268,0.00100184083054309
temperature,-8.34045224326623e-06,7.971772848057758e-06,0.29544649781840704,-2.396483991839373e-05,7.283935431861268e-06
humidity,-2.240880056312076e-06,1.692538212082084e-06,0.18551099898932044,-5.558193994450776e-06,1.076433881826625e-06
rainfall,-3.4091000208003654e-06,3.822468925611303e-05,0.9289342393486442,-7.832811428301706e-05,7.150991424141633e-05
hour_of_day,3.812790398273624e-06,2.7170413003761833e-06,0.16053109075800975,-1.5125126949715697e-06,9.138093491518817e-06
day_of_week,1.222397567551629e-05,1.984834252861094e-05,0.5379810890020273,-2.6678060833375817e-05,5.11260121844084e-05
is_weekend,1.1952180427825565e-05,8.362212182455405e-05,0.8863447988737818,-0.0001519441666591212,0.00017584852751477233
lag_24,-0.0029253813506773594,0.004057421432531596,0.47091247201524333,-0.0108777812285402,0.0050270185271854805
lag_168,-0.002280319625127191,0.002313523266896154,0.3243058655607941,-0.006814741905639101,0.0022541026553847183
rolling_mean_24,0.021787900997211822,0.010759489951097583,0.042867995572534026,0.0006996882010399316,0.04287611379338371
rolling_mean_168,0.013446619608261259,0.023019876819330456,0.5591322982789089,-0.031671509886174884,0.058564749102697405
ar.L1,0.7406400468825438,0.004527329156058459,0.0,0.7317666447905111,0.7495134489745765
ma.L1,-0.7467304310174865,0.004549451467036404,0.0,-0.7556471920422907,-0.7378136699926823
ma.L2,0.12075371166513083,0.003519085397580357,4.8611055663547285e-258,0.1138564310273525,0.12765099230290913
ma.L3,0.18153860920616383,0.0032827991998049385,0.0,0.17510444100606923,0.18797277740625842
ar.S.L24,0.27234146320245667,0.04481853206799154,1.2280576733716301e-09,0.1844987545092398,0.36018417189567353
ar.S.L48,0.04256202202800201,0.005094937605839708,6.610867750020131e-17,0.03257612781707745,0.052547916238926566
ma.S.L24,-0.1867172140153563,0.045061282772944244,3.418534246380551e-05,-0.2750357053475022,-0.0983987226832104
sigma2,1.1353213413958267e-06,3.941377334779988e-09,0.0,1.1275963837701754e-06,1.143046299021478e-06
