p,d,q,P,D,Q,s,aic,bic,converged,fit_seconds,error
0,0,0,0,0,0,24,-87609.7766610879,-87524.29496782045,False,12.246230899821967,
0,0,0,0,0,1,24,-98189.572822036,-98096.9676543296,False,16.072592899901792,
0,0,0,0,0,2,24,-98219.07121189544,-98119.34256975008,False,77.39115050015971,
0,0,0,1,0,0,24,-98220.23768045715,-98127.63251275074,False,13.93418089998886,
0,0,0,1,0,1,24,-98222.35448258715,-98122.62584044179,False,22.95821289997548,
0,0,0,1,0,2,24,-98229.92257554602,-98123.07045896171,False,94.06467580003664,
0,0,0,2,0,0,24,-98252.17394439148,-98152.44530224612,False,63.81408190005459,
0,0,0,2,0,1,24,-98249.97094154458,-98143.11882496027,False,88.69517789990641,
0,0,0,2,0,2,24,-98246.69128643663,-98132.71569541335,False,119.83227789984085,
0,0,1,0,0,0,24,-98130.44930559432,-98037.8441378879,False,3.3720935999881476,
0,0,1,0,0,1,24,-98240.81832127448,-98141.08967912912,True,22.69911539996974,
0,0,1,0,0,2,24,-98269.09554878618,-98162.24343220187,False,83.42052459996194,
0,0,1,1,0,0,24,-98259.51473514816,-98159.7860930028,False,14.958014899864793,
0,0,1,1,0,1,24,-98269.5772092279,-98162.72509264358,False,22.10690200002864,
0,0,1,1,0,2,24,-98276.3054295842,-98162.32983856092,False,87.9168139998801,
0,0,1,2,0,0,24,-98288.67410556698,-98181.82198898267,False,68.61600259994157,
0,0,1,2,0,1,24,-98293.20380290637,-98179.22821188309,False,79.9816034999676,
0,0,1,2,0,2,24,-98291.95319003487,-98170.85412457264,False,109.08862230018713,
0,0,2,0,0,0,24,-98297.22988714515,-98197.50124499979,False,3.485843600006774,
0,0,2,0,0,1,24,-98410.7531076673,-98303.90099108299,False,23.543796599842608,
0,0,2,0,0,2,24,-98443.17688346577,-98329.20129244249,False,94.32355089997873,
0,0,2,1,0,0,24,-98432.81679154525,-98325.96467496094,False,16.079577800119296,
0,0,2,1,0,1,24,-98441.80830582794,-98327.83271480467,False,25.381484600016847,
0,0,2,1,0,2,24,-98450.13777525736,-98329.03870979513,False,99.95922919991426,
0,0,2,2,0,0,24,-98467.05550131727,-98353.079910294,False,73.21874359995127,
0,0,2,2,0,1,24,-98469.32568780154,-98348.22662233931,False,77.86938249995,
0,0,2,2,0,2,24,-98466.2596528481,-98338.03711294691,False,107.61478869989514,
0,0,3,0,0,0,24,-98767.7422946241,-98660.89017803979,False,4.334421299863607,
0,0,3,0,0,1,24,-98869.19945036889,-98755.22385934561,True,23.02445899997838,
0,0,3,0,0,2,24,-98889.45958133924,-98768.36051587701,False,92.85379939991981,
0,0,3,1,0,0,24,-98880.2972968719,-98766.32170584862,False,16.62548019993119,
0,0,3,1,0,1,24,-98890.42891555864,-98769.32985009642,False,23.78888799995184,
0,0,3,1,0,2,24,-98891.76249624582,-98763.53995634464,False,96.07294770004228,
0,0,3,2,0,0,24,-98895.10732198406,-98774.00825652183,False,76.68932670005597,
0,0,3,2,0,1,24,-98900.8606650492,-98772.63812514802,False,80.03635840001516,
0,0,3,2,0,2,24,-98906.80570269916,-98771.45968835903,False,103.30222470010631,
1,0,0,0,0,0,24,-98180.53578206977,-98087.93061436336,False,2.833789699943736,
1,0,0,0,0,1,24,-98265.8575618071,-98166.12891966174,False,21.39123179996386,
1,0,0,0,0,2,24,-98290.42682896636,-98183.57471238205,True,91.40371609991416,
1,0,0,1,0,0,24,-98269.27005319897,-98169.54141105361,True,13.528121900046244,
1,0,0,1,0,1,24,-98291.79888308275,-98184.94676649844,True,23.49866719986312,
1,0,0,1,0,2,24,-98296.73623047576,-98182.76063945248,False,98.99208270013332,
1,0,0,2,0,0,24,-98295.74063090485,-98188.88851432054,False,79.91069629997946,
1,0,0,2,0,1,24,-98310.73596596846,-98196.76037494518,False,99.41562109999359,
1,0,0,2,0,2,24,-98311.7167570985,-98190.61769163627,False,121.94751860015094,
1,0,1,0,0,0,24,-97994.41531599886,-97894.6866738535,False,3.490439800079912,
1,0,1,0,0,1,24,-98138.30087460339,-98031.44875801908,False,25.766836600145325,
1,0,1,0,0,2,24,-98173.48535976076,-98059.50976873748,False,112.96039179991931,
1,0,1,1,0,0,24,-98170.83290701844,-98063.98079043413,False,20.415930800139904,
1,0,1,1,0,1,24,-98173.31583400082,-98059.34024297755,False,26.62058460013941,
1,0,1,1,0,2,24,-98182.58083828267,-98061.48177282044,False,105.29787910007872,
1,0,1,2,0,0,24,-98206.31332622048,-98092.3377351972,False,85.6977162999101,
1,0,1,2,0,1,24,-98203.95264217825,-98082.85357671602,False,117.44473310001194,
1,0,1,2,0,2,24,-98201.09761008182,-98072.87507018064,False,120.0590856000781,
1,0,2,0,0,0,24,-99030.38630271272,-98923.53418612841,False,9.344578699907288,
1,0,2,0,0,1,24,-99084.44266566614,-98970.46707464286,False,58.32615939993411,
1,0,2,0,0,2,24,-99104.0803967989,-98982.98133133668,True,121.57154089980759,
1,0,2,1,0,0,24,-99067.71206839467,-98953.73647737139,True,21.947015000041574,
1,0,2,1,0,1,24,-99106.14114118225,-98985.04207572002,True,32.24118969985284,
1,0,2,1,0,2,24,-99108.47482858898,-98980.2522886878,True,128.2428147001192,
1,0,2,2,0,0,24,-99089.53396900091,-98968.43490353868,False,87.36697209998965,
1,0,2,2,0,1,24,-99117.86364530295,-98989.64110540177,True,497.8063215999864,
1,0,2,2,0,2,24,-99122.12267473029,-98986.77666039015,True,1068.2538709000219,
1,0,3,0,0,0,24,-99558.0589859209,-99444.08339489762,False,10.53082920005545,
1,0,3,0,0,1,24,-99606.86002341776,-99485.76095795553,False,56.74470250005834,
1,0,3,0,0,2,24,-99619.71154640274,-99491.48900650156,True,106.37758970004506,
1,0,3,1,0,0,24,-99587.12285240681,-99466.02378694458,True,121.73722049989738,
1,0,3,1,0,1,24,-99623.26641468426,-99495.04387478308,False,58.44681829982437,
1,0,3,1,0,2,24,-99622.11815166859,-99486.77213732846,True,478.3488757999148,
1,0,3,2,0,0,24,-99598.65089077473,-99470.42835087355,True,939.0114601999521,
1,0,3,2,0,1,24,-99626.69335906209,-99491.34734472196,True,942.8953088000417,
1,0,3,2,0,2,24,-99635.02123479705,-99492.55174601795,False,1271.884497599909,
2,0,0,0,0,0,24,-98488.54977392321,-98388.82113177785,False,3.3302774999756366,
2,0,0,0,0,1,24,-98560.68593625432,-98453.83381967,False,21.17318299994804,
2,0,0,0,0,2,24,-98588.47146843723,-98474.49587741395,False,99.14856339991093,
2,0,0,1,0,0,24,-98557.63570904278,-98450.78359245847,True,19.49908550013788,
2,0,0,1,0,1,24,-98587.94210705647,-98473.9665160332,False,27.57467529992573,
2,0,0,1,0,2,24,-98593.80336079403,-98472.7042953318,False,104.03784059989266,
