term,coef,std_err,p_value,ci_lower,ci_upper
power,0.0009911211641843375,1.418421893137582e-06,0.0,0.0009883411083589048,0.0009939012200097703
temperature,-7.799255481390784e-06,2.8579194975365607e-05,0.7849302701615792,-6.381344834025546e-05,4.821493737747388e-05
humidity,-9.150503454448912e-06,5.8246532722163985e-06,0.11618371898936311,-2.056661409042643e-05,2.265607181528605e-06
rainfall,1.6113835194610984e-05,8.871379862650162e-05,0.8558664868903447,-0.0001577620150450711,0.00018998968543429306
hour_of_day,7.232327243539069e-06,6.133019498633456e-06,0.23830097828442953,-4.788170090264405e-06,1.925282457734254e-05
day_of_week,1.250128576422865e-05,2.8195394944955507e-05,0.657490603287586,-4.276067285776685e-05,6.776324438622414e-05
is_weekend,0.00016645315091245872,0.00013367553754362678,0.21305722114391612,-9.554608828708162e-05,0.0004284523901119991
lag_24,0.0120460604915766,0.0013292903022387138,1.2805213009591789e-19,0.009440699374190358,0.014651421608962842
lag_168,0.017164891807130996,0.000896342490314832,9.692552744037239e-82,0.015408092808300983,0.018921690805961008
rolling_mean_24,0.015753573917022735,0.006609006252957586,0.01714178302727236,0.002800159687625852,0.02870698814641962
rolling_mean_168,-0.033549033790324624,0.012870959993793738,0.009145463483713128,-0.05877565182461623,-0.00832241575603302
ar.L1,0.986990790191185,0.0008999232836475709,0.0,0.9852269729663867,0.9887546074159832
ma.L1,-0.8158617451369928,0.0016986342171132823,0.0,-0.8191910070254422,-0.8125324832485434
ar.S.L24,0.2753867725103132,0.08943546151433919,0.0020757989043083476,0.10009648900149029,0.4506770560191361
ar.S.L48,0.3563498918773741,0.07118459017313826,5.557343180170541e-07,0.21683065888377925,0.4958691248709689
ma.S.L24,-0.1455422738529204,0.08991393833932237,0.10551522212254288,-0.3217703547061474,0.030685807000306597
ma.S.L48,-0.2615355470684265,0.06032814071079461,1.4561677726845359e-05,-0.37977653011584855,-0.14329456402100446
sigma2,2.5205740072074264e-06,8.910119394414609e-09,0.0,2.503110494096422e-06,2.538037520318431e-06
