p,d,q,P,D,Q,s,aic,bic,converged,fit_seconds,error
0,0,0,0,0,0,24,-81494.88716950249,-81409.40547623503,False,10.008863599970937,
0,0,0,0,0,1,24,-89205.41768332865,-89112.81251562224,False,14.093849699944258,
0,0,0,0,0,2,24,-89495.28144984611,-89395.55280770075,False,69.94726660009474,
0,0,0,1,0,0,24,-89423.32061960231,-89330.7154518959,False,12.698746599955484,
0,0,0,1,0,1,24,-89550.7766826475,-89451.04804050214,False,24.18662269995548,
0,0,0,1,0,2,24,-89695.88663102014,-89589.03451443583,False,94.94902279996313,
0,0,0,2,0,0,24,-89904.21987536151,-89804.49123321615,False,64.15934969997033,
0,0,0,2,0,1,24,-89931.91859971677,-89825.06648313245,False,73.94671840011142,
0,0,0,2,0,2,24,-90084.25114501527,-89970.27555399199,False,91.1161710000597,
0,0,1,0,0,0,24,-89127.63476705525,-89035.02959934884,False,7.078229499980807,
0,0,1,0,0,1,24,-89659.19224271833,-89559.46360057297,False,20.61614319984801,
0,0,1,0,0,2,24,-89941.78678870172,-89834.93467211741,False,86.69876899989322,
0,0,1,1,0,0,24,-89896.73280926794,-89797.00416712258,False,13.708294699899852,
0,0,1,1,0,1,24,-89984.35141314456,-89877.49929656024,False,22.07216849992983,
0,0,1,1,0,2,24,-90106.21722289728,-89992.241631874,False,92.55326850013807,
0,0,1,2,0,0,24,-90333.67602853297,-90226.82391194865,False,68.33995109982789,
0,0,1,2,0,1,24,-90353.55527571155,-90239.57968468827,False,72.15646219998598,
0,0,1,2,0,2,24,-90461.86443073304,-90340.76536527081,False,89.38121339981444,
0,0,2,0,0,0,24,-89158.62779130354,-89058.89914915818,False,3.424093500012532,
0,0,2,0,0,1,24,-89705.4479816448,-89598.59586506049,False,22.69265770004131,
0,0,2,0,0,2,24,-89993.05582299115,-89879.08023196788,False,94.28966350015253,
0,0,2,1,0,0,24,-89955.90764389449,-89849.05552731018,False,15.346035199938342,
0,0,2,1,0,1,24,-90036.29045848633,-89922.31486746305,False,22.99460309999995,
0,0,2,1,0,2,24,-90159.46853426784,-90038.36946880561,False,99.09424449992366,
0,0,2,2,0,0,24,-90410.35910271565,-90296.38351169237,False,72.65950549999252,
0,0,2,2,0,1,24,-90429.0451250974,-90307.94605963517,False,75.58440980012529,
0,0,2,2,0,2,24,-90522.53778041017,-90394.315240509,False,100.40498639992438,
0,0,3,0,0,0,24,-89356.51058042265,-89249.65846383834,False,3.6571733001619577,
0,0,3,0,0,1,24,-89935.96291776255,-89821.98732673927,False,22.188309700228274,
0,0,3,0,0,2,24,-90226.14572768963,-90105.0466622274,False,92.30875490000471,
0,0,3,1,0,0,24,-90206.50724620049,-90092.53165517721,False,15.54461929993704,
0,0,3,1,0,1,24,-90273.27234825277,-90152.17328279054,False,22.81855749990791,
0,0,3,1,0,2,24,-90394.60445805841,-90266.38191815723,False,97.27328719990328,
0,0,3,2,0,0,24,-90674.54108389167,-90553.44201842944,False,73.84399269986898,
0,0,3,2,0,1,24,-90690.84450363828,-90562.6219637371,False,78.20683500007726,
0,0,3,2,0,2,24,-90763.21350310941,-90627.86748876928,False,100.68765020021237,
1,0,0,0,0,0,24,-89226.13088550292,-89133.52571779651,False,5.911368399858475,
1,0,0,0,0,1,24,-89826.89070887753,-89727.16206673217,False,20.957634599879384,
1,0,0,0,0,2,24,-90116.26409012618,-90009.41197354186,False,104.52349519985728,
1,0,0,1,0,0,24,-90100.38191343934,-90000.65327129398,False,16.718443300109357,
1,0,0,1,0,1,24,-90170.55581968231,-90063.703703098,False,23.005569400032982,
1,0,0,1,0,2,24,-90291.29897822691,-90177.32338720364,False,106.41306339995936,
1,0,0,2,0,0,24,-90563.26022482144,-90456.40810823713,False,77.9193967001047,
1,0,0,2,0,1,24,-90580.73103504282,-90466.75544401954,False,92.86596830002964,
1,0,0,2,0,2,24,-90671.21346400151,-90550.11439853928,False,93.66724819992669,
1,0,1,0,0,0,24,-90085.0268082164,-89985.29816607104,True,3.7233792000915855,
1,0,1,0,0,1,24,-90820.78030425639,-90713.92818767208,True,53.820691199973226,
1,0,1,0,0,2,24,-91242.77633247332,-91128.80074145005,True,132.08007689984515,
1,0,1,1,0,0,24,-91222.58725898102,-91115.7351423967,True,21.33798459987156,
1,0,1,1,0,1,24,-91295.21188045507,-91181.23628943179,True,47.69730310002342,
1,0,1,1,0,2,24,-91485.59288267541,-91364.49381721318,True,139.93150119995698,
1,0,1,2,0,0,24,-92015.53930178832,-91901.56371076504,True,124.98511020001024,
1,0,1,2,0,1,24,-92038.0295248784,-91916.93045941617,True,209.026097800117,
1,0,1,2,0,2,24,-92064.14432401696,-91935.92178411578,True,107.26990929991007,
1,0,2,0,0,0,24,-88616.060315133,-88509.20819854869,False,3.435538199963048,
1,0,2,0,0,1,24,-89147.0244017281,-89033.04881070481,False,25.775576299987733,
1,0,2,0,0,2,24,-89491.71100627433,-89370.6119408121,False,103.315094999969,
1,0,2,1,0,0,24,-89380.90992983035,-89266.93433880707,False,18.327645200071856,
1,0,2,1,0,1,24,-89519.91575275104,-89398.81668728881,False,25.88622789992951,
1,0,2,1,0,2,24,-89676.7596809625,-89548.53714106132,False,110.01257900008932,
1,0,2,2,0,0,24,-89892.70753180151,-89771.60846633928,False,82.51369239995256,
1,0,2,2,0,1,24,-89921.81067788108,-89793.5881379799,False,93.53637009998783,
1,0,2,2,0,2,24,-90077.73219045464,-89942.38617611451,False,110.23917139996774,
1,0,3,0,0,0,24,-90136.6351422533,-90022.65955123003,True,3.2837241999804974,
1,0,3,0,0,1,24,-90744.35468764487,-90623.25562218264,False,22.083116699941456,
1,0,3,0,0,2,24,-91094.35123435633,-90966.12869445515,False,93.42690329998732,
1,0,3,1,0,0,24,-91048.37863580254,-90927.27957034031,False,20.443782499991357,
1,0,3,1,0,1,24,-91130.87615059127,-91002.65361069009,False,24.416979299858212,
1,0,3,1,0,2,24,-91285.30538474972,-91149.95937040959,False,102.71729269996285,
1,0,3,2,0,0,24,-91636.82550688242,-91508.60296698124,False,89.69529810012318,
1,0,3,2,0,1,24,-91657.21703295958,-91521.87101861945,False,92.09464020002633,
1,0,3,2,0,2,24,-91715.63629641643,-91573.16680763733,False,104.2376562000718,
2,0,0,0,0,0,24,-89387.27793648122,-89287.54929433585,False,2.9297656998969615,
