timestamp,voltage_v,current_a,power_w,total_kwh,is_active
2026-02-02 00:00:00,229.8,0.0,0.0,0.57,False
2026-02-02 00:10:00,229.8,0.0,0.0,0.57,False
2026-02-02 00:20:00,229.8,0.0,0.0,0.57,False
2026-02-02 00:30:00,230.2,1.063,172.1,0.04,False
2026-02-02 00:40:00,230.2,1.063,172.1,0.04,False
2026-02-02 00:50:00,230.2,1.063,172.1,0.04,False
2026-02-02 01:00:00,230.2,1.063,172.1,0.79,False
2026-02-02 01:10:00,230.2,1.063,172.1,0.79,False
2026-02-02 01:20:00,232.9,0.0,0.0,0.79,False
2026-02-02 01:30:00,232.9,0.0,0.0,0.35,False
2026-02-02 01:40:00,232.9,0.0,0.0,0.35,False
2026-02-02 01:50:00,232.0,1.086,177.0,0.35,False
2026-02-02 02:00:00,232.0,1.086,177.0,0.37,False
2026-02-02 02:10:00,232.0,1.086,177.0,0.37,False
2026-02-02 02:20:00,232.0,1.086,177.0,0.37,False
2026-02-02 02:30:00,233.8,0.0,0.0,0.61,False
2026-02-02 02:40:00,233.8,0.0,0.0,0.61,False
2026-02-02 02:50:00,233.8,0.0,0.0,0.61,False
2026-02-02 03:00:00,231.6,1.106,179.5,0.08,False
2026-02-02 03:10:00,231.6,1.106,179.5,0.08,False
2026-02-02 03:20:00,231.6,1.106,179.5,0.08,False
2026-02-02 03:30:00,231.6,1.106,179.5,0.79,False
2026-02-02 03:40:00,232.9,0.0,0.0,0.79,False
2026-02-02 03:50:00,232.9,0.0,0.0,0.79,False
2026-02-02 04:00:00,232.9,0.0,0.0,0.05,False
2026-02-02 04:10:00,232.4,1.102,179.1,0.05,False
2026-02-02 04:20:00,232.4,1.102,179.1,0.05,False
2026-02-02 04:30:00,232.4,1.102,179.1,0.64,False
2026-02-02 04:40:00,230.7,0.0,0.0,0.64,False
2026-02-02 04:50:00,230.7,0.0,0.0,0.64,False
2026-02-02 05:00:00,230.7,0.0,0.0,0.23,False
2026-02-02 05:10:00,230.7,0.0,0.0,0.23,False
2026-02-02 05:20:00,229.0,1.092,178.5,0.23,False
2026-02-02 05:30:00,229.0,1.092,178.5,0.4,False
2026-02-02 05:40:00,229.0,1.092,178.5,0.4,False
2026-02-02 05:50:00,229.0,1.092,178.5,0.4,False
2026-02-02 06:00:00,228.5,0.0,0.0,0.54,False
2026-02-02 06:10:00,228.5,0.0,0.0,0.54,False
2026-02-02 06:20:00,228.5,0.0,0.0,0.54,False
2026-02-02 06:30:00,229.4,1.078,175.7,0.16,False
2026-02-02 06:40:00,229.4,1.078,175.7,0.16,False
2026-02-02 06:50:00,229.4,1.078,175.7,0.16,False
2026-02-02 07:00:00,229.4,1.078,175.7,0.77,False
2026-02-02 07:10:00,229.4,1.078,175.7,0.77,False
2026-02-02 07:20:00,234.2,0.0,0.0,0.77,False
2026-02-02 07:30:00,234.2,0.0,0.0,0.37,False
2026-02-02 07:40:00,234.2,0.0,0.0,0.37,False
2026-02-02 07:50:00,232.4,1.082,174.6,0.37,False
2026-02-02 08:00:00,232.4,1.082,174.6,0.36,False
2026-02-02 08:10:00,232.4,1.082,174.6,0.36,False
2026-02-02 08:20:00,232.4,1.082,174.6,0.36,False
2026-02-02 08:30:00,232.9,0.0,0.0,0.59,False
2026-02-02 08:40:00,232.9,0.0,0.0,0.59,False
2026-02-02 08:50:00,232.9,0.0,0.0,0.59,False
2026-02-02 09:00:00,231.1,1.081,176.9,0.08,False
2026-02-02 09:10:00,231.1,1.081,176.9,0.08,False
2026-02-02 09:20:00,231.1,1.081,176.9,0.08,False
2026-02-02 09:30:00,233.8,0.0,0.0,0.79,False
2026-02-02 09:40:00,233.8,0.0,0.0,0.79,False
2026-02-02 09:50:00,233.8,0.0,0.0,0.79,False
2026-02-02 10:00:00,233.8,0.0,0.0,0.01,False
2026-02-02 10:10:00,228.5,1.075,175.6,0.01,False
2026-02-02 10:20:00,228.5,1.075,175.6,0.01,False
2026-02-02 10:30:00,228.5,1.075,175.6,0.67,False
2026-02-02 10:40:00,236.5,0.0,0.0,0.67,False
2026-02-02 10:50:00,236.5,0.0,0.0,0.67,False
2026-02-02 11:00:00,236.5,0.0,0.0,0.21,False
2026-02-02 11:10:00,236.5,0.0,0.0,0.21,False
2026-02-02 11:20:00,233.3,1.103,181.2,0.21,False
2026-02-02 11:30:00,233.3,1.103,181.2,0.21,False
2026-02-02 11:40:00,233.3,1.103,181.2,0.21,False
2026-02-02 11:50:00,233.3,1.103,181.2,0.21,False
2026-02-02 12:00:00,233.3,1.103,181.2,0.21,False
2026-02-02 12:10:00,233.3,1.103,181.2,0.21,False
2026-02-02 12:20:00,233.3,1.103,181.2,0.21,False
2026-02-02 12:30:00,233.3,1.103,181.2,0.21,False
2026-02-02 12:40:00,233.3,1.103,181.2,0.21,False
2026-02-02 12:50:00,233.3,1.103,181.2,0.21,False
2026-02-02 13:00:00,233.3,1.103,181.2,0.21,False
2026-02-02 13:10:00,233.3,1.103,181.2,0.21,False
2026-02-02 13:20:00,233.3,1.103,181.2,0.21,False
2026-02-02 13:30:00,233.3,1.103,181.2,0.21,False
2026-02-02 13:40:00,233.3,1.103,181.2,0.21,False
2026-02-02 13:50:00,233.3,1.103,181.2,0.21,False
2026-02-02 14:00:00,233.3,1.103,181.2,0.21,False
2026-02-02 14:10:00,233.3,1.103,181.2,0.21,False
2026-02-02 14:20:00,233.3,1.103,181.2,0.21,False
2026-02-02 14:30:00,233.3,1.103,181.2,0.21,False
2026-02-02 14:40:00,233.3,1.103,181.2,0.21,False
2026-02-02 14:50:00,233.3,1.103,181.2,0.21,False
2026-02-02 15:00:00,233.3,1.103,181.2,0.21,False
2026-02-02 15:10:00,233.3,1.103,181.2,0.21,False
2026-02-02 15:20:00,233.3,1.103,181.2,0.21,False
2026-02-02 15:30:00,233.3,1.103,181.2,0.21,False
2026-02-02 15:40:00,233.3,1.103,181.2,0.21,False
2026-02-02 15:50:00,233.3,1.103,181.2,0.21,False
2026-02-02 16:00:00,233.3,1.103,181.2,0.21,False
2026-02-02 16:10:00,233.3,1.103,181.2,0.21,False
2026-02-02 16:20:00,233.3,1.103,181.2,0.21,False
2026-02-02 16:30:00,233.3,1.103,181.2,0.21,False
2026-02-02 16:40:00,233.3,1.103,181.2,0.21,False
2026-02-02 16:50:00,233.3,1.103,181.2,0.21,False
2026-02-02 17:00:00,233.3,1.103,181.2,0.21,False
2026-02-02 17:10:00,233.3,1.103,181.2,0.21,False
2026-02-02 17:20:00,233.3,1.103,181.2,0.21,False
2026-02-02 17:30:00,233.3,1.103,181.2,0.21,False
2026-02-02 17:40:00,233.3,1.103,181.2,0.21,False
2026-02-02 17:50:00,233.3,1.103,181.2,0.21,False
2026-02-02 18:00:00,233.3,1.103,181.2,0.21,False
2026-02-02 18:10:00,233.3,1.103,181.2,0.21,False
2026-02-02 18:20:00,233.3,1.103,181.2,0.21,False
2026-02-02 18:30:00,233.3,1.103,181.2,0.21,False
2026-02-02 18:40:00,233.3,1.103,181.2,0.21,False
2026-02-02 18:50:00,233.3,1.103,181.2,0.21,False
2026-02-02 19:00:00,233.3,1.103,181.2,0.21,False
2026-02-02 19:10:00,233.3,1.103,181.2,0.21,False
2026-02-02 19:20:00,233.3,1.103,181.2,0.21,False
2026-02-02 19:30:00,233.3,1.103,181.2,0.21,False
2026-02-02 19:40:00,233.3,1.103,181.2,0.21,False
2026-02-02 19:50:00,233.3,1.103,181.2,0.21,False
2026-02-02 20:00:00,233.3,1.103,181.2,0.21,False
2026-02-02 20:10:00,233.3,1.103,181.2,0.21,False
2026-02-02 20:20:00,233.3,1.103,181.2,0.21,False
2026-02-02 20:30:00,233.3,1.103,181.2,0.21,False
2026-02-02 20:40:00,233.3,1.103,181.2,0.21,False
2026-02-02 20:50:00,233.3,1.103,181.2,0.21,False
2026-02-02 21:00:00,233.3,1.103,181.2,0.21,False
2026-02-02 21:10:00,233.3,1.103,181.2,0.21,False
2026-02-02 21:20:00,233.3,1.103,181.2,0.21,False
2026-02-02 21:30:00,233.3,1.103,181.2,0.21,False
2026-02-02 21:40:00,233.3,1.103,181.2,0.21,False
2026-02-02 21:50:00,233.3,1.103,181.2,0.21,False
2026-02-02 22:00:00,233.3,1.103,181.2,0.21,False
2026-02-02 22:10:00,233.3,1.103,181.2,0.21,False
2026-02-02 22:20:00,233.3,1.103,181.2,0.21,False
2026-02-02 22:30:00,233.3,1.103,181.2,0.21,False
2026-02-02 22:40:00,233.3,1.103,181.2,0.21,False
2026-02-02 22:50:00,233.3,1.103,181.2,0.21,False
2026-02-02 23:00:00,233.3,1.103,181.2,0.21,False
2026-02-02 23:10:00,233.3,1.103,181.2,0.21,False
2026-02-02 23:20:00,233.3,1.103,181.2,0.21,False
2026-02-02 23:30:00,233.3,1.103,181.2,0.21,False
2026-02-02 23:40:00,233.3,1.103,181.2,0.21,False
2026-02-02 23:50:00,233.3,1.103,181.2,0.21,False
