date,device_id,total_readings,is_complete,total_kwh,active_minutes,validated_at,peak_power_w
2026-01-03,a3ed2fe218a724b4fepeni,144,True,2.11,1410,2026-02-12 01:00:22.290,
2026-01-04,a3ed2fe218a724b4fepeni,144,True,4.53,1440,2026-02-12 01:00:22.558,
2026-01-05,a3ed2fe218a724b4fepeni,144,True,3.75,1420,2026-02-12 01:00:22.711,
2026-01-06,a3ed2fe218a724b4fepeni,144,True,3.23,1430,2026-02-12 01:00:22.782,
2026-01-07,a3ed2fe218a724b4fepeni,144,True,2.25,1420,2026-02-12 01:00:22.858,
2026-01-08,a3ed2fe218a724b4fepeni,144,True,3.78,1430,2026-02-12 01:00:22.940,
2026-01-09,a3ed2fe218a724b4fepeni,144,True,2.59,1400,2026-02-12 01:00:23.011,
2026-01-10,a3ed2fe218a724b4fepeni,144,True,3.45,1400,2026-02-12 01:00:23.105,
2026-01-11,a3ed2fe218a724b4fepeni,144,True,3.66,1400,2026-02-12 01:00:23.170,
2026-01-12,a3ed2fe218a724b4fepeni,144,True,3.88,1400,2026-02-12 01:00:23.234,
2026-01-13,a3ed2fe218a724b4fepeni,144,True,3.76,1400,2026-02-12 01:00:23.301,
2026-01-14,a3ed2fe218a724b4fepeni,144,True,3.75,1400,2026-02-12 01:00:23.474,
2026-01-15,a3ed2fe218a724b4fepeni,144,True,4.1,1400,2026-02-12 01:00:23.538,
2026-01-16,a3ed2fe218a724b4fepeni,144,True,3.33,1400,2026-02-12 01:00:23.604,
2026-01-17,a3ed2fe218a724b4fepeni,144,True,3.9,1400,2026-02-12 01:00:23.678,
2026-01-18,a3ed2fe218a724b4fepeni,144,True,3.79,1400,2026-02-12 01:00:23.743,
2026-01-19,a3ed2fe218a724b4fepeni,144,True,3.58,1400,2026-02-12 01:00:23.811,
2026-01-20,a3ed2fe218a724b4fepeni,144,True,3.73,1400,2026-02-12 01:00:23.876,
2026-01-21,a3ed2fe218a724b4fepeni,144,True,3.63,1400,2026-02-12 01:00:23.996,
2026-01-22,a3ed2fe218a724b4fepeni,144,True,2.99,1400,2026-02-12 01:00:24.060,
2026-01-23,a3ed2fe218a724b4fepeni,144,True,3.17,1400,2026-02-12 01:00:24.129,
2026-01-24,a3ed2fe218a724b4fepeni,144,True,3.44,1400,2026-02-12 01:00:24.192,
2026-01-25,a3ed2fe218a724b4fepeni,144,True,4.19,1400,2026-02-12 01:00:24.291,
2026-01-26,a3ed2fe218a724b4fepeni,144,True,4.21,1400,2026-02-12 01:00:24.357,
2026-01-27,a3ed2fe218a724b4fepeni,144,True,3.56,1400,2026-02-12 01:00:24.461,
2026-01-28,a3ed2fe218a724b4fepeni,144,True,2.67,1400,2026-02-12 01:00:24.526,
2026-01-29,a3ed2fe218a724b4fepeni,144,True,3.31,1400,2026-02-12 01:00:24.587,
2026-01-30,a3ed2fe218a724b4fepeni,144,True,3.43,1400,2026-02-12 01:00:24.651,
2026-01-31,a3ed2fe218a724b4fepeni,144,True,4.01,1400,2026-02-12 01:00:24.713,
2026-02-01,a3ed2fe218a724b4fepeni,144,True,3.26,1400,2026-02-12 01:00:24.776,
2026-02-02,a3ed2fe218a724b4fepeni,144,True,3.68,1400,2026-02-12 01:00:24.857,
2026-02-03,a3ed2fe218a724b4fepeni,144,True,4.18,1430,2026-02-12 01:00:24.921,
2026-02-04,a3ed2fe218a724b4fepeni,144,True,2.88,1400,2026-02-12 01:00:24.985,
2026-02-05,a3ed2fe218a724b4fepeni,144,True,2.18,1400,2026-02-12 01:00:25.048,
2026-02-06,a3ed2fe218a724b4fepeni,144,True,0.5,1400,2026-02-12 01:00:25.139,
2026-02-07,a3ed2fe218a724b4fepeni,144,True,2.31,1400,2026-02-12 01:00:25.211,
2026-02-08,a3ed2fe218a724b4fepeni,144,True,2.4918,1400,2026-02-12 00:03:58.398,512.3
2026-02-09,a3ed2fe218a724b4fepeni,144,True,2.4064,1400,2026-02-15 23:08:22.700,512.3
2026-02-10,a3ed2fe218a724b4fepeni,144,True,2.2357,1400,2026-02-15 23:08:22.882,491.82
2026-02-11,a3ed2fe218a724b4fepeni,144,True,2.2357,1400,2026-02-15 23:08:22.982,491.82
2026-02-12,a3ed2fe218a724b4fepeni,144,True,8.1087,1440,2026-02-15 23:08:23.106,502.6
2026-02-13,a3ed2fe218a724b4fepeni,144,True,0.0,1440,2026-02-15 23:08:23.205,0.0
2026-02-14,a3ed2fe218a724b4fepeni,144,True,0.0,1440,2026-02-15 23:08:23.330,0.0
2026-02-15,a3ed2fe218a724b4fepeni,139,False,0.0,1390,2026-02-15 23:08:23.425,0.0
2026-02-20,a3ed2fe218a724b4fepeni,143,False,1.0,1430,2026-02-21 00:00:05.244,518.5
2026-02-24,a3ed2fe218a724b4fepeni,144,True,3.4572,1440,2026-02-25 00:00:05.275,523.0
