date,device_id,timestamp,interval_index,raw_switch_1,raw_add_ele,raw_cur_current,raw_cur_power,raw_cur_voltage,proc_power_w,proc_voltage_v,proc_current_a,proc_is_active,proc_total_kwh_accumulated,weather_temp,weather_humidity,weather_pressure,raw_countdown_1,raw_voltage_coe,raw_electric_coe,raw_power_coe,raw_electricity_coe,raw_fault,raw_relay_status,raw_overcharge_switch,raw_light_mode,raw_child_lock,raw_cycle_time,raw_random_time,raw_switch_inching
2026-01-03,a3ed2fe218a724b4fepeni,2026-01-02 16:00:00,0,True,1,0,1090,2296,109.01,229.68,0.0,True,0.0182,,,,,,,,,,,,,,,,
2026-01-03,a3ed2fe218a724b4fepeni,2026-01-02 16:10:00,1,True,3,0,1090,2300,109.01,230.0,0.0,True,0.0363,,,,,,,,,,,,,,,,
2026-01-03,a3ed2fe218a724b4fepeni,2026-01-02 16:20:00,2,True,5,0,1090,2302,109.01,230.24,0.0,True,0.0545,,,,,,,,,,,,,,,,
2026-01-03,a3ed2fe218a724b4fepeni,2026-01-02 16:30:00,3,True,7,0,1090,2310,109.01,231.04,0.0,True,0.0727,,,,,,,,,,,,,,,,
2026-01-03,a3ed2fe218a724b4fepeni,2026-01-02 16:40:00,4,True,9,0,1090,2318,109.01,231.86,0.0,True,0.0908,,,,,,,,,,,,,,,,
2026-01-03,a3ed2fe218a724b4fepeni,2026-01-02 16:50:00,5,True,10,0,1090,2316,109.01,231.65,0.0,True,0.109,,,,,,,,,,,,,,,,
2026-01-03,a3ed2fe218a724b4fepeni,2026-01-02 17:00:00,6,True,12,0,1090,2316,109.01,231.68,0.0,True,0.1272,,,,,,,,,,,,,,,,
2026-01-03,a3ed2fe218a724b4fepeni,2026-01-02 17:10:00,7,True,14,0,1090,2318,109.01,231.84,0.0,True,0.1454,,,,,,,,,,,,,,,,
2026-01-03,a3ed2fe218a724b4fepeni,2026-01-02 17:20:00,8,True,16,0,1090,2314,109.01,231.47,0.0,True,0.1635,,,,,,,,,,,,,,,,
2026-01-03,a3ed2fe218a724b4fepeni,2026-01-02 17:30:00,9,True,18,0,1090,2320,109.01,232.0,0.0,True,0.1817,,,,,,,,,,,,,,,,
2026-01-03,a3ed2fe218a724b4fepeni,2026-01-02 17:40:00,10,True,19,0,1090,2311,109.01,231.1,0.0,True,0.1999,,,,,,,,,,,,,,,,
2026-01-03,a3ed2fe218a724b4fepeni,2026-01-02 17:50:00,11,True,21,0,1090,2311,109.01,231.1,0.0,True,0.218,,,,,,,,,,,,,,,,
2026-01-03,a3ed2fe218a724b4fepeni,2026-01-02 18:00:00,12,True,23,0,1090,2311,109.01,231.16,0.0,True,0.2362,,,,,,,,,,,,,,,,
2026-01-03,a3ed2fe218a724b4fepeni,2026-01-02 18:10:00,13,True,25,0,1090,2299,109.01,229.93,0.0,True,0.2544,,,,,,,,,,,,,,,,
2026-01-03,a3ed2fe218a724b4fepeni,2026-01-02 18:20:00,14,True,27,0,1090,2310,109.01,231.05,0.0,True,0.2725,,,,,,,,,,,,,,,,
2026-01-03,a3ed2fe218a724b4fepeni,2026-01-02 18:30:00,15,True,29,0,1090,2309,109.01,230.93,0.0,True,0.2907,,,,,,,,,,,,,,,,
2026-01-03,a3ed2fe218a724b4fepeni,2026-01-02 18:40:00,16,True,30,0,1090,2305,109.01,230.53,0.0,True,0.3089,,,,,,,,,,,,,,,,
2026-01-03,a3ed2fe218a724b4fepeni,2026-01-02 18:50:00,17,True,32,0,1090,2310,109.01,231.07,0.0,True,0.327,,,,,,,,,,,,,,,,
2026-01-03,a3ed2fe218a724b4fepeni,2026-01-02 19:00:00,18,True,34,0,1090,2312,109.01,231.21,0.0,True,0.3452,,,,,,,,,,,,,,,,
2026-01-03,a3ed2fe218a724b4fepeni,2026-01-02 19:10:00,19,True,36,0,1090,2326,109.01,232.6,0.0,True,0.3634,,,,,,,,,,,,,,,,
2026-01-03,a3ed2fe218a724b4fepeni,2026-01-02 19:20:00,20,True,38,0,1090,2336,109.01,233.67,0.0,True,0.3815,,,,,,,,,,,,,,,,
2026-01-03,a3ed2fe218a724b4fepeni,2026-01-02 19:30:00,21,True,39,0,1090,2332,109.01,233.27,0.0,True,0.3997,,,,,,,,,,,,,,,,
2026-01-03,a3ed2fe218a724b4fepeni,2026-01-02 19:40:00,22,True,41,0,1090,2331,109.01,233.18,0.0,True,0.4179,,,,,,,,,,,,,,,,
2026-01-03,a3ed2fe218a724b4fepeni,2026-01-02 19:50:00,23,True,43,0,1090,2335,109.01,233.53,0.0,True,0.4361,,,,,,,,,,,,,,,,
2026-01-03,a3ed2fe218a724b4fepeni,2026-01-02 20:00:00,24,True,45,0,1090,2331,109.01,233.16,0.0,True,0.4542,,,,,,,,,,,,,,,,
2026-01-03,a3ed2fe218a724b4fepeni,2026-01-02 20:10:00,25,True,47,0,1090,2329,109.01,232.98,0.0,True,0.4724,,,,,,,,,,,,,,,,
2026-01-03,a3ed2fe218a724b4fepeni,2026-01-02 20:20:00,26,True,49,0,1090,2329,109.01,232.96,0.0,True,0.4906,,,,,,,,,,,,,,,,
2026-01-03,a3ed2fe218a724b4fepeni,2026-01-02 20:30:00,27,True,50,0,1090,2327,109.01,232.7,0.0,True,0.5087,,,,,,,,,,,,,,,,
2026-01-03,a3ed2fe218a724b4fepeni,2026-01-02 20:40:00,28,True,52,0,1090,2317,109.01,231.77,0.0,True,0.5269,,,,,,,,,,,,,,,,
2026-01-03,a3ed2fe218a724b4fepeni,2026-01-02 20:50:00,29,True,54,0,1090,2338,109.01,233.84,0.0,True,0.5451,,,,,,,,,,,,,,,,
2026-01-03,a3ed2fe218a724b4fepeni,2026-01-02 21:00:00,30,True,56,0,1090,2327,109.01,232.73,0.0,True,0.5632,,,,,,,,,,,,,,,,
2026-01-03,a3ed2fe218a724b4fepeni,2026-01-02 21:10:00,31,True,58,0,1090,2319,109.01,231.99,0.0,True,0.5814,,,,,,,,,,,,,,,,
2026-01-03,a3ed2fe218a724b4fepeni,2026-01-02 21:20:00,32,True,59,0,1090,2318,109.01,231.82,0.0,True,0.5996,,,,,,,,,,,,,,,,
2026-01-03,a3ed2fe218a724b4fepeni,2026-01-02 21:30:00,33,True,61,0,1090,2310,109.01,231.09,0.0,True,0.6177,,,,,,,,,,,,,,,,
2026-01-03,a3ed2fe218a724b4fepeni,2026-01-02 21:40:00,34,True,63,0,1090,2310,109.01,231.0,0.0,True,0.6359,,,,,,,,,,,,,,,,
2026-01-03,a3ed2fe218a724b4fepeni,2026-01-02 21:50:00,35,True,65,0,1090,2313,109.01,231.38,0.0,True,0.6541,,,,,,,,,,,,,,,,
2026-01-03,a3ed2fe218a724b4fepeni,2026-01-02 22:00:00,36,True,67,0,1090,2319,109.01,231.98,0.0,True,0.6722,,,,,,,,,,,,,,,,
2026-01-03,a3ed2fe218a724b4fepeni,2026-01-02 22:10:00,37,True,69,0,1090,2320,109.01,232.08,0.0,True,0.6904,,,,,,,,,,,,,,,,
2026-01-03,a3ed2fe218a724b4fepeni,2026-01-02 22:20:00,38,True,70,0,1090,2317,109.01,231.72,0.0,True,0.7086,,,,,,,,,,,,,,,,
