date,device_id,total_readings,is_complete,total_kwh,active_minutes,validated_at,peak_power_w
2026-01-03,a3c772d3fde52dbae832bi,144,True,0.44,1410,2026-02-12 01:00:30.016,
2026-01-04,a3c772d3fde52dbae832bi,144,True,0.39,1430,2026-02-12 01:00:30.081,
2026-01-05,a3c772d3fde52dbae832bi,144,True,0.49,1430,2026-02-12 01:00:30.157,
2026-01-06,a3c772d3fde52dbae832bi,144,True,0.35,1440,2026-02-12 01:00:30.228,
2026-01-07,a3c772d3fde52dbae832bi,144,True,0.24,1410,2026-02-12 01:00:30.297,
2026-01-08,a3c772d3fde52dbae832bi,144,True,0.31,1410,2026-02-12 01:00:30.390,
2026-01-09,a3c772d3fde52dbae832bi,144,True,0.36,1420,2026-02-12 01:00:30.461,
2026-01-10,a3c772d3fde52dbae832bi,144,True,0.41,1420,2026-02-12 01:00:30.568,
2026-01-11,a3c772d3fde52dbae832bi,144,True,0.42,1410,2026-02-12 01:00:30.633,
2026-01-12,a3c772d3fde52dbae832bi,144,True,0.29,1410,2026-02-12 01:00:30.751,
2026-01-13,a3c772d3fde52dbae832bi,144,True,0.33,1410,2026-02-12 01:00:30.860,
2026-01-14,a3c772d3fde52dbae832bi,144,True,0.3,1410,2026-02-12 01:00:30.924,
2026-01-15,a3c772d3fde52dbae832bi,144,True,0.27,1410,2026-02-12 01:00:30.986,
2026-01-16,a3c772d3fde52dbae832bi,144,True,0.27,1410,2026-02-12 01:00:31.049,
2026-01-17,a3c772d3fde52dbae832bi,144,True,0.33,1410,2026-02-12 01:00:31.114,
2026-01-18,a3c772d3fde52dbae832bi,144,True,0.45,1410,2026-02-12 01:00:31.175,
2026-01-19,a3c772d3fde52dbae832bi,144,True,0.3,1410,2026-02-12 01:00:31.236,
2026-01-20,a3c772d3fde52dbae832bi,144,True,0.32,1410,2026-02-12 01:00:31.297,
2026-01-21,a3c772d3fde52dbae832bi,144,True,0.4,1410,2026-02-12 01:00:31.359,
2026-01-22,a3c772d3fde52dbae832bi,144,True,0.33,1410,2026-02-12 01:00:31.422,
2026-01-23,a3c772d3fde52dbae832bi,144,True,0.33,1410,2026-02-12 01:00:31.485,
2026-01-24,a3c772d3fde52dbae832bi,144,True,0.39,1410,2026-02-12 01:00:31.556,
2026-01-25,a3c772d3fde52dbae832bi,144,True,0.48,1410,2026-02-12 01:00:31.619,
2026-01-26,a3c772d3fde52dbae832bi,144,True,0.42,1410,2026-02-12 01:00:31.699,
2026-01-27,a3c772d3fde52dbae832bi,144,True,0.33,1410,2026-02-12 01:00:31.801,
2026-01-28,a3c772d3fde52dbae832bi,144,True,0.24,1410,2026-02-12 01:00:31.863,
2026-01-29,a3c772d3fde52dbae832bi,144,True,0.35,1410,2026-02-12 01:00:31.925,
2026-01-30,a3c772d3fde52dbae832bi,144,True,0.55,1410,2026-02-12 01:00:31.987,
2026-01-31,a3c772d3fde52dbae832bi,144,True,0.72,1410,2026-02-12 01:00:32.067,
2026-02-01,a3c772d3fde52dbae832bi,144,True,0.38,1410,2026-02-12 01:00:32.135,
2026-02-02,a3c772d3fde52dbae832bi,144,True,0.29,1410,2026-02-12 01:00:32.197,
2026-02-03,a3c772d3fde52dbae832bi,144,True,0.3,1430,2026-02-12 01:00:32.262,
2026-02-04,a3c772d3fde52dbae832bi,144,True,0.25,1410,2026-02-12 01:00:32.359,
2026-02-05,a3c772d3fde52dbae832bi,144,True,0.24,1410,2026-02-12 01:00:32.422,
2026-02-06,a3c772d3fde52dbae832bi,144,True,0.32,1410,2026-02-12 01:00:32.488,
2026-02-07,a3c772d3fde52dbae832bi,144,True,0.64,1410,2026-02-12 01:00:32.553,
2026-02-08,a3c772d3fde52dbae832bi,144,True,0.32,1410,2026-02-12 01:00:32.658,
2026-02-09,a3c772d3fde52dbae832bi,144,True,0.29,1410,2026-02-15 23:08:24.747,19.5
2026-02-10,a3c772d3fde52dbae832bi,144,True,0.33,1410,2026-02-15 23:08:24.928,24.14
2026-02-11,a3c772d3fde52dbae832bi,144,True,0.34,1410,2026-02-15 23:08:25.022,25.21
2026-02-12,a3c772d3fde52dbae832bi,144,True,0.6306,1440,2026-02-15 23:08:25.127,43.5
2026-02-13,a3c772d3fde52dbae832bi,143,False,0.2733,1430,2026-02-15 23:08:25.240,43.1
2026-02-14,a3c772d3fde52dbae832bi,144,True,0.4695,1440,2026-02-15 23:08:25.361,43.1
2026-02-15,a3c772d3fde52dbae832bi,138,False,0.4605,1380,2026-02-15 23:08:25.462,43.6
2026-02-17,a3c772d3fde52dbae832bi,142,False,0.21,1420,2026-02-18 00:00:06.121,43.4
