date,device_id,total_readings,is_complete,total_kwh,active_minutes,validated_at,peak_power_w
2026-01-03,a3986d20c19f33c7c107fw,144,True,0.42,1400,2026-02-12 01:00:26.093,
2026-01-04,a3986d20c19f33c7c107fw,144,True,2.24,1440,2026-02-12 01:00:26.156,
2026-01-05,a3986d20c19f33c7c107fw,144,True,2.29,1420,2026-02-12 01:00:26.224,
2026-01-06,a3986d20c19f33c7c107fw,144,True,2.22,1430,2026-02-12 01:00:26.304,
2026-01-07,a3986d20c19f33c7c107fw,144,True,2.14,1410,2026-02-12 01:00:26.396,
2026-01-08,a3986d20c19f33c7c107fw,144,True,1.42,1410,2026-02-12 01:00:26.557,
2026-01-09,a3986d20c19f33c7c107fw,144,True,2.27,1400,2026-02-12 01:00:26.627,
2026-01-10,a3986d20c19f33c7c107fw,144,True,2.24,1390,2026-02-12 01:00:26.694,
2026-01-11,a3986d20c19f33c7c107fw,144,True,2.56,1390,2026-02-12 01:00:26.759,
2026-01-12,a3986d20c19f33c7c107fw,144,True,2.42,1390,2026-02-12 01:00:26.823,
2026-01-13,a3986d20c19f33c7c107fw,144,True,2.34,1390,2026-02-12 01:00:26.888,
2026-01-14,a3986d20c19f33c7c107fw,144,True,2.25,1390,2026-02-12 01:00:26.982,
2026-01-15,a3986d20c19f33c7c107fw,144,True,2.25,1390,2026-02-12 01:00:27.044,
2026-01-16,a3986d20c19f33c7c107fw,144,True,2.33,1390,2026-02-12 01:00:27.108,
2026-01-17,a3986d20c19f33c7c107fw,144,True,2.21,1390,2026-02-12 01:00:27.171,
2026-01-18,a3986d20c19f33c7c107fw,144,True,2.46,1390,2026-02-12 01:00:27.265,
2026-01-19,a3986d20c19f33c7c107fw,144,True,2.25,1390,2026-02-12 01:00:27.330,
2026-01-20,a3986d20c19f33c7c107fw,144,True,2.42,1390,2026-02-12 01:00:27.393,
2026-01-21,a3986d20c19f33c7c107fw,144,True,2.21,1390,2026-02-12 01:00:27.462,
2026-01-22,a3986d20c19f33c7c107fw,144,True,2.14,1390,2026-02-12 01:00:27.608,
2026-01-23,a3986d20c19f33c7c107fw,144,True,2.0,1390,2026-02-12 01:00:27.680,
2026-01-24,a3986d20c19f33c7c107fw,144,True,1.09,1390,2026-02-12 01:00:27.754,
2026-01-25,a3986d20c19f33c7c107fw,144,True,2.24,1390,2026-02-12 01:00:27.825,
2026-01-26,a3986d20c19f33c7c107fw,144,True,2.05,1390,2026-02-12 01:00:27.897,
2026-01-27,a3986d20c19f33c7c107fw,144,True,2.02,1390,2026-02-12 01:00:27.958,
2026-01-28,a3986d20c19f33c7c107fw,144,True,2.06,1390,2026-02-12 01:00:28.021,
2026-01-29,a3986d20c19f33c7c107fw,144,True,1.93,1390,2026-02-12 01:00:28.091,
2026-01-30,a3986d20c19f33c7c107fw,144,True,1.82,1390,2026-02-12 01:00:28.218,
2026-01-31,a3986d20c19f33c7c107fw,144,True,1.97,1390,2026-02-12 01:00:28.300,
2026-02-01,a3986d20c19f33c7c107fw,144,True,2.08,1390,2026-02-12 01:00:28.369,
2026-02-02,a3986d20c19f33c7c107fw,144,True,2.11,1390,2026-02-12 01:00:28.435,
2026-02-03,a3986d20c19f33c7c107fw,144,True,1.95,1430,2026-02-12 01:00:28.498,
2026-02-04,a3986d20c19f33c7c107fw,144,True,1.97,1390,2026-02-12 01:00:28.562,
2026-02-05,a3986d20c19f33c7c107fw,144,True,1.93,1390,2026-02-12 01:00:28.714,
2026-02-06,a3986d20c19f33c7c107fw,144,True,2.03,1390,2026-02-12 01:00:28.794,
2026-02-07,a3986d20c19f33c7c107fw,144,True,2.35,1390,2026-02-12 01:00:28.857,
2026-02-08,a3986d20c19f33c7c107fw,144,True,2.35,1390,2026-02-12 01:00:28.920,
2026-02-09,a3986d20c19f33c7c107fw,144,True,2.0,1390,2026-02-15 23:08:23.730,196.35
2026-02-10,a3986d20c19f33c7c107fw,144,True,1.98,1390,2026-02-15 23:08:23.878,193.5
2026-02-11,a3986d20c19f33c7c107fw,144,True,1.87,1390,2026-02-15 23:08:24.010,182.59
2026-02-12,a3986d20c19f33c7c107fw,143,False,2.4196,1430,2026-02-15 23:08:24.118,185.7
2026-02-13,a3986d20c19f33c7c107fw,144,True,2.6535,1440,2026-02-15 23:08:24.259,180.7
2026-02-14,a3986d20c19f33c7c107fw,143,False,2.1569,1430,2026-02-15 23:08:24.360,183.0
2026-02-15,a3986d20c19f33c7c107fw,139,False,2.327,1390,2026-02-15 23:08:24.457,183.1
2026-02-24,a3986d20c19f33c7c107fw,144,True,2.2266,1440,2026-02-25 00:00:05.519,179.0
