date,device_id,timestamp,interval_index,raw_switch_1,raw_add_ele,raw_cur_current,raw_cur_power,raw_cur_voltage,proc_power_w,proc_voltage_v,proc_current_a,proc_is_active,proc_total_kwh_accumulated,weather_temp,weather_humidity,weather_pressure,raw_countdown_1,raw_voltage_coe,raw_electric_coe,raw_power_coe,raw_electricity_coe,raw_fault,raw_relay_status,raw_overcharge_switch,raw_light_mode,raw_child_lock,raw_cycle_time,raw_random_time,raw_switch_inching
2026-01-03,a3986d20c19f33c7c107fw,2026-01-02 16:00:00,0,True,0,308,82,2284,8.27,228.4,0.308,True,0.0014,,,,,,,,,,,,,,,,
2026-01-03,a3986d20c19f33c7c107fw,2026-01-02 16:10:00,1,True,0,231,62,2284,6.22,228.45,0.232,True,0.0024,,,,,,,,,,,,,,,,
2026-01-03,a3986d20c19f33c7c107fw,2026-01-02 16:20:00,2,True,0,687,184,2282,18.41,228.22,0.687,True,0.0055,,,,,,,,,,,,,,,,
2026-01-03,a3986d20c19f33c7c107fw,2026-01-02 16:30:00,3,True,0,380,101,2271,10.16,227.19,0.381,True,0.0072,,,,,,,,,,,,,,,,
2026-01-03,a3986d20c19f33c7c107fw,2026-01-02 16:40:00,4,True,1,849,228,2287,22.81,228.73,0.849,True,0.011,,,,,,,,,,,,,,,,
2026-01-03,a3986d20c19f33c7c107fw,2026-01-02 16:50:00,5,True,1,768,205,2282,20.6,228.29,0.768,True,0.0144,,,,,,,,,,,,,,,,
2026-01-03,a3986d20c19f33c7c107fw,2026-01-02 17:00:00,6,True,1,840,225,2281,22.51,228.13,0.84,True,0.0182,,,,,,,,,,,,,,,,
2026-01-03,a3986d20c19f33c7c107fw,2026-01-02 17:10:00,7,True,2,457,122,2273,12.22,227.36,0.458,True,0.0202,,,,,,,,,,,,,,,,
2026-01-03,a3986d20c19f33c7c107fw,2026-01-02 17:20:00,8,True,2,463,124,2288,12.46,228.81,0.464,True,0.0223,,,,,,,,,,,,,,,,
2026-01-03,a3986d20c19f33c7c107fw,2026-01-02 17:30:00,9,True,2,488,131,2295,13.17,229.59,0.488,True,0.0245,,,,,,,,,,,,,,,,
2026-01-03,a3986d20c19f33c7c107fw,2026-01-02 17:40:00,10,True,2,399,107,2294,10.76,229.4,0.399,True,0.0263,,,,,,,,,,,,,,,,
2026-01-03,a3986d20c19f33c7c107fw,2026-01-02 17:50:00,11,True,2,455,122,2296,12.27,229.61,0.455,True,0.0283,,,,,,,,,,,,,,,,
2026-01-03,a3986d20c19f33c7c107fw,2026-01-02 18:00:00,12,True,3,841,225,2284,22.58,228.47,0.842,True,0.0321,,,,,,,,,,,,,,,,
2026-01-03,a3986d20c19f33c7c107fw,2026-01-02 18:10:00,13,True,3,614,165,2289,16.51,228.93,0.614,True,0.0348,,,,,,,,,,,,,,,,
2026-01-03,a3986d20c19f33c7c107fw,2026-01-02 18:20:00,14,True,3,714,191,2287,19.19,228.77,0.715,True,0.038,,,,,,,,,,,,,,,,
2026-01-03,a3986d20c19f33c7c107fw,2026-01-02 18:30:00,15,True,4,625,167,2286,16.79,228.65,0.625,True,0.0408,,,,,,,,,,,,,,,,
2026-01-03,a3986d20c19f33c7c107fw,2026-01-02 18:40:00,16,True,4,611,164,2291,16.45,229.16,0.611,True,0.0436,,,,,,,,,,,,,,,,
2026-01-03,a3986d20c19f33c7c107fw,2026-01-02 18:50:00,17,True,4,543,146,2302,14.69,230.23,0.543,True,0.046,,,,,,,,,,,,,,,,
2026-01-03,a3986d20c19f33c7c107fw,2026-01-02 19:00:00,18,True,4,622,168,2302,16.82,230.21,0.622,True,0.0488,,,,,,,,,,,,,,,,
2026-01-03,a3986d20c19f33c7c107fw,2026-01-02 19:10:00,19,True,5,454,122,2305,12.29,230.52,0.454,True,0.0509,,,,,,,,,,,,,,,,
2026-01-03,a3986d20c19f33c7c107fw,2026-01-02 19:20:00,20,True,5,454,122,2303,12.29,230.3,0.455,True,0.0529,,,,,,,,,,,,,,,,
2026-01-03,a3986d20c19f33c7c107fw,2026-01-02 19:30:00,21,True,5,610,164,2302,16.5,230.27,0.61,True,0.0557,,,,,,,,,,,,,,,,
2026-01-03,a3986d20c19f33c7c107fw,2026-01-02 19:40:00,22,True,5,451,122,2305,12.22,230.5,0.451,True,0.0577,,,,,,,,,,,,,,,,
2026-01-03,a3986d20c19f33c7c107fw,2026-01-02 19:50:00,23,True,5,450,121,2300,12.19,230.07,0.451,True,0.0597,,,,,,,,,,,,,,,,
2026-01-03,a3986d20c19f33c7c107fw,2026-01-02 20:00:00,24,True,6,529,143,2307,14.36,230.74,0.53,True,0.0621,,,,,,,,,,,,,,,,
2026-01-03,a3986d20c19f33c7c107fw,2026-01-02 20:10:00,25,True,6,531,143,2301,14.36,230.11,0.531,True,0.0645,,,,,,,,,,,,,,,,
2026-01-03,a3986d20c19f33c7c107fw,2026-01-02 20:20:00,26,True,6,151,41,2303,4.11,230.32,0.152,True,0.0652,,,,,,,,,,,,,,,,
2026-01-03,a3986d20c19f33c7c107fw,2026-01-02 20:30:00,27,True,6,158,42,2309,4.3,230.9,0.158,True,0.0659,,,,,,,,,,,,,,,,
2026-01-03,a3986d20c19f33c7c107fw,2026-01-02 20:40:00,28,True,6,152,41,2304,4.13,230.4,0.153,True,0.0666,,,,,,,,,,,,,,,,
2026-01-03,a3986d20c19f33c7c107fw,2026-01-02 20:50:00,29,True,6,231,62,2312,6.28,231.27,0.231,True,0.0677,,,,,,,,,,,,,,,,
2026-01-03,a3986d20c19f33c7c107fw,2026-01-02 21:00:00,30,True,7,539,146,2308,14.63,230.82,0.54,True,0.0701,,,,,,,,,,,,,,,,
2026-01-03,a3986d20c19f33c7c107fw,2026-01-02 21:10:00,31,True,7,607,163,2297,16.4,229.7,0.608,True,0.0728,,,,,,,,,,,,,,,,
2026-01-03,a3986d20c19f33c7c107fw,2026-01-02 21:20:00,32,True,7,607,163,2300,16.4,230.05,0.607,True,0.0756,,,,,,,,,,,,,,,,
2026-01-03,a3986d20c19f33c7c107fw,2026-01-02 21:30:00,33,True,7,453,122,2296,12.23,229.67,0.454,True,0.0776,,,,,,,,,,,,,,,,
2026-01-03,a3986d20c19f33c7c107fw,2026-01-02 21:40:00,34,True,7,530,143,2297,14.32,229.74,0.531,True,0.08,,,,,,,,,,,,,,,,
2026-01-03,a3986d20c19f33c7c107fw,2026-01-02 21:50:00,35,True,8,309,83,2305,8.38,230.52,0.31,True,0.0814,,,,,,,,,,,,,,,,
2026-01-03,a3986d20c19f33c7c107fw,2026-01-02 22:00:00,36,True,8,231,62,2295,6.23,229.54,0.231,True,0.0824,,,,,,,,,,,,,,,,
2026-01-03,a3986d20c19f33c7c107fw,2026-01-02 22:10:00,37,True,8,155,42,2307,4.22,230.78,0.156,True,0.0831,,,,,,,,,,,,,,,,
2026-01-03,a3986d20c19f33c7c107fw,2026-01-02 22:20:00,38,True,8,448,121,2304,12.14,230.42,0.449,True,0.0851,,,,,,,,,,,,,,,,
2026-01-03,a3986d20c19f33c7c107fw,2026-01-02 22:30:00,39,True,8,757,204,2301,20.47,230.1,0.757,True,0.0886,,,,,,,,,,,,,,,,
2026-01-03,a3986d20c19f33c7c107fw,2026-01-02 22:40:00,40,True,9,604,163,2301,16.35,230.18,0.605,True,0.0913,,,,,,,,,,,,,,,,
