device_id,hour_ts,e_hour_kwh,kwh_start,kwh_end,kwh_net,recon_dev_pct,hour_tags,temperature,humidity,rainfall,wx_tags,hour_of_day,day_of_week,is_weekend,is_holiday,lag_24,lag_168,rolling_mean_24,rolling_mean_168
a3986d20c19f33c7c107fw,2026-01-02 16:00:00+08:00,0.0117883333333332,0.0014,0.0144,0.013,9.320512820513848,HOURLY_RECON_GT_5PCT,25.3,83.0,1.5,WX_CLEANED,16,4,0,0,,,0.0117883333333332,0.0117883333333332
a3986d20c19f33c7c107fw,2026-01-02 17:00:00+08:00,0.0149883333333331,0.0182,0.0283,0.010099999999999998,48.39933993399112,HOURLY_RECON_GT_5PCT,24.4,90.0,2.9,WX_CLEANED,17,4,0,0,,,0.01338833333333315,0.01338833333333315
a3986d20c19f33c7c107fw,2026-01-02 18:00:00+08:00,0.0173616666666664,0.0321,0.046,0.013900000000000003,24.904076738607174,HOURLY_RECON_GT_5PCT,23.5,93.0,2.9,WX_CLEANED,18,4,0,0,,,0.014712777777777566,0.014712777777777566
a3986d20c19f33c7c107fw,2026-01-02 19:00:00+08:00,0.014018333333333199,0.0488,0.0597,0.0109,28.608562691130263,HOURLY_RECON_GT_5PCT,23.4,94.0,2.9,WX_CLEANED,19,4,0,0,,,0.014539166666666475,0.014539166666666475
a3986d20c19f33c7c107fw,2026-01-02 20:00:00+08:00,0.0086066666666664,0.0621,0.0677,0.005599999999999994,53.69047619047159,HOURLY_RECON_GT_5PCT,23.6,93.0,1.4,WX_CLEANED,20,4,0,0,,,0.01335266666666646,0.01335266666666646
a3986d20c19f33c7c107fw,2026-01-02 21:00:00+08:00,0.0139199999999997,0.0701,0.0814,0.011300000000000004,23.185840707961898,HOURLY_RECON_GT_5PCT,23.8,91.0,0.2,WX_CLEANED,21,4,0,0,,,0.013447222222222,0.013447222222222
a3986d20c19f33c7c107fw,2026-01-02 22:00:00+08:00,0.0116374999999998,0.0824,0.0937,0.011300000000000004,2.9867256637150104,,23.8,90.0,0.0,WX_CLEANED,22,4,0,0,,,0.013188690476190257,0.013188690476190257
a3986d20c19f33c7c107fw,2026-01-02 23:00:00+08:00,0.0152566666666663,0.096,0.1108,0.014799999999999994,3.085585585583156,,23.8,89.0,0.0,WX_CLEANED,23,4,0,0,,,0.013447187499999763,0.013447187499999763
a3986d20c19f33c7c107fw,2026-01-03 00:00:00+08:00,0.0128108333333331,0.1118,0.1212,0.009400000000000006,36.285460992905236,HOURLY_RECON_GT_5PCT,24.0,88.0,0.0,WX_CLEANED,0,5,1,0,,,0.013376481481481245,0.013376481481481245
a3986d20c19f33c7c107fw,2026-01-03 01:00:00+08:00,0.009322499999999699,0.1219,0.1309,0.008999999999999994,3.5833333333300574,,24.0,88.0,0.0,WX_CLEANED,1,5,1,0,,,0.012971083333333088,0.012971083333333088
a3986d20c19f33c7c107fw,2026-01-03 02:00:00+08:00,0.0091741666666665,0.1315,0.1405,0.009000000000000008,1.935185185183251,,23.8,86.0,0.0,WX_CLEANED,2,5,1,0,,,0.012625909090908854,0.012625909090908854
a3986d20c19f33c7c107fw,2026-01-03 03:00:00+08:00,0.0109874999999997,0.1429,0.1508,0.00789999999999999,39.082278481009034,HOURLY_RECON_GT_5PCT,23.8,86.0,0.0,WX_CLEANED,3,5,1,0,,,0.01248937499999976,0.01248937499999976
a3986d20c19f33c7c107fw,2026-01-03 04:00:00+08:00,0.0061233333333332,0.1512,0.1579,0.0067000000000000115,8.606965174131496,HOURLY_RECON_GT_5PCT,23.8,84.0,0.0,WX_CLEANED,4,5,1,0,,,0.011999679487179254,0.011999679487179254
a3986d20c19f33c7c107fw,2026-01-03 05:00:00+08:00,0.0044666666666664,0.1597,0.1632,0.003500000000000003,27.619047619039893,HOURLY_RECON_GT_5PCT,23.6,83.0,0.0,WX_CLEANED,5,5,1,0,,,0.011461607142856907,0.011461607142856907
a3986d20c19f33c7c107fw,2026-01-03 06:00:00+08:00,0.016175833333333,0.1646,0.1815,0.0169,4.285009861934898,,23.6,82.0,0.0,WX_CLEANED,6,5,1,0,,,0.011775888888888647,0.011775888888888647
a3986d20c19f33c7c107fw,2026-01-03 07:00:00+08:00,0.0226633333333331,0.1875,0.2028,0.015300000000000008,48.126361655771824,HOURLY_RECON_GT_5PCT,23.6,81.0,0.0,WX_CLEANED,7,5,1,0,,,0.012456354166666425,0.012456354166666425
