timestamp,voltage_v,current_a,power_w,total_kwh,is_active
2026-01-31 00:00:00,,,,0.71,False
2026-01-31 00:10:00,,,,0.71,False
2026-01-31 00:20:00,,,,1.0,False
2026-01-31 00:30:00,,2.08,479.7,1.0,False
2026-01-31 00:40:00,,2.08,479.7,1.0,False
2026-01-31 00:50:00,,2.08,479.7,1.0,False
2026-01-31 01:00:00,,2.08,479.7,1.0,False
2026-01-31 01:10:00,,2.08,479.7,1.0,False
2026-01-31 01:20:00,,2.08,479.7,1.0,False
2026-01-31 01:30:00,232.7,2.074,477.1,1.0,False
2026-01-31 01:40:00,232.7,2.074,477.1,1.0,False
2026-01-31 01:50:00,232.7,2.074,477.1,1.0,False
2026-01-31 02:00:00,232.7,2.074,477.1,1.0,False
2026-01-31 02:10:00,232.7,2.074,477.1,1.0,False
2026-01-31 02:20:00,232.7,2.074,477.1,1.0,False
2026-01-31 02:30:00,234.4,2.031,470.7,1.0,False
2026-01-31 02:40:00,234.4,2.031,470.7,1.0,False
2026-01-31 02:50:00,235.3,0.295,69.9,1.0,False
2026-01-31 03:00:00,234.0,0.297,69.7,1.0,False
2026-01-31 03:10:00,234.9,0.295,69.9,1.0,False
2026-01-31 03:20:00,234.9,1.859,431.3,1.0,False
2026-01-31 03:30:00,234.4,0.296,70.0,1.0,False
2026-01-31 03:40:00,234.4,0.296,70.0,1.0,False
2026-01-31 03:50:00,234.4,0.297,70.3,1.0,False
2026-01-31 04:00:00,234.4,0.297,70.2,1.0,False
2026-01-31 04:10:00,233.5,0.295,69.8,1.0,False
2026-01-31 04:20:00,235.3,0.297,70.2,1.0,False
2026-01-31 04:30:00,235.3,1.741,397.5,1.0,False
2026-01-31 04:40:00,234.4,0.297,70.5,1.0,False
2026-01-31 04:50:00,236.2,0.297,70.5,1.0,False
2026-01-31 05:00:00,234.4,1.877,437.6,1.0,False
2026-01-31 05:10:00,235.3,0.297,70.2,1.0,False
2026-01-31 05:20:00,235.3,0.296,69.7,1.0,False
2026-01-31 05:30:00,235.3,0.296,69.7,1.0,False
2026-01-31 05:40:00,234.9,0.297,70.1,1.0,False
2026-01-31 05:50:00,234.4,0.297,70.3,1.0,False
2026-01-31 06:00:00,234.4,0.297,70.2,1.0,False
2026-01-31 06:10:00,234.4,0.295,119.2,1.0,False
2026-01-31 06:20:00,234.9,1.888,436.5,1.0,False
2026-01-31 06:30:00,234.9,1.888,436.5,1.0,False
2026-01-31 06:40:00,234.9,1.888,436.5,1.0,False
2026-01-31 06:50:00,234.9,1.888,436.5,0.35,False
2026-01-31 07:00:00,234.9,1.888,436.5,0.35,False
2026-01-31 07:10:00,234.9,1.888,436.5,0.35,False
2026-01-31 07:20:00,232.7,1.888,436.5,0.35,False
2026-01-31 07:30:00,232.7,1.888,436.5,0.35,False
2026-01-31 07:40:00,232.7,1.888,436.5,0.35,False
2026-01-31 07:50:00,232.7,1.888,436.5,0.35,False
2026-01-31 08:00:00,232.7,1.888,436.5,0.35,False
2026-01-31 08:10:00,232.7,1.888,436.5,0.35,False
2026-01-31 08:20:00,229.7,1.888,436.5,0.35,False
2026-01-31 08:30:00,229.7,1.888,436.5,0.35,False
2026-01-31 08:40:00,229.7,1.888,436.5,0.35,False
2026-01-31 08:50:00,229.7,1.888,436.5,0.35,False
2026-01-31 09:00:00,229.7,1.888,436.5,0.35,False
2026-01-31 09:10:00,229.7,1.888,436.5,0.35,False
2026-01-31 09:20:00,233.5,1.888,436.5,0.35,False
2026-01-31 09:30:00,233.5,1.888,436.5,0.35,False
2026-01-31 09:40:00,233.5,1.888,436.5,0.35,False
2026-01-31 09:50:00,233.5,1.888,436.5,0.35,False
2026-01-31 10:00:00,233.5,1.888,436.5,0.35,False
2026-01-31 10:10:00,233.5,1.888,436.5,0.35,False
2026-01-31 10:20:00,231.0,1.888,436.5,0.35,False
2026-01-31 10:30:00,231.0,1.888,436.5,0.35,False
2026-01-31 10:40:00,231.0,1.888,436.5,0.35,False
2026-01-31 10:50:00,231.0,1.888,436.5,0.35,False
2026-01-31 11:00:00,231.0,1.888,436.5,0.35,False
2026-01-31 11:10:00,231.0,1.888,436.5,0.35,False
2026-01-31 11:20:00,235.3,1.888,436.5,0.35,False
2026-01-31 11:30:00,235.3,1.888,436.5,0.35,False
2026-01-31 11:40:00,235.3,1.888,436.5,0.35,False
2026-01-31 11:50:00,235.3,1.888,436.5,0.35,False
2026-01-31 12:00:00,235.3,1.888,436.5,0.35,False
2026-01-31 12:10:00,235.3,1.888,436.5,0.35,False
2026-01-31 12:20:00,235.8,1.888,436.5,0.35,False
2026-01-31 12:30:00,235.8,1.888,436.5,0.35,False
2026-01-31 12:40:00,235.8,1.888,436.5,0.35,False
2026-01-31 12:50:00,235.8,1.888,436.5,0.35,False
2026-01-31 13:00:00,235.8,1.888,436.5,0.35,False
2026-01-31 13:10:00,235.8,1.888,436.5,0.35,False
2026-01-31 13:20:00,235.3,1.888,436.5,0.35,False
2026-01-31 13:30:00,235.3,1.888,436.5,0.35,False
2026-01-31 13:40:00,235.3,1.888,436.5,0.35,False
2026-01-31 13:50:00,235.3,1.888,436.5,0.35,False
2026-01-31 14:00:00,235.3,1.888,436.5,0.35,False
2026-01-31 14:10:00,235.3,1.888,436.5,0.35,False
2026-01-31 14:20:00,235.8,1.888,436.5,0.35,False
2026-01-31 14:30:00,235.8,1.888,436.5,0.35,False
2026-01-31 14:40:00,235.8,1.888,436.5,0.35,False
2026-01-31 14:50:00,235.8,1.888,436.5,0.35,False
2026-01-31 15:00:00,235.8,1.888,436.5,0.35,False
2026-01-31 15:10:00,235.8,1.888,436.5,0.35,False
2026-01-31 15:20:00,235.3,1.888,436.5,0.35,False
2026-01-31 15:30:00,235.3,1.888,436.5,0.35,False
2026-01-31 15:40:00,235.3,1.888,436.5,0.35,False
2026-01-31 15:50:00,235.3,1.888,436.5,0.35,False
2026-01-31 16:00:00,235.3,1.888,436.5,0.35,False
2026-01-31 16:10:00,235.3,1.888,436.5,0.35,False
2026-01-31 16:20:00,234.9,1.888,436.5,0.35,False
2026-01-31 16:30:00,234.9,1.888,436.5,0.35,False
2026-01-31 16:40:00,234.9,1.888,436.5,0.35,False
2026-01-31 16:50:00,234.9,1.888,436.5,0.35,False
2026-01-31 17:00:00,234.9,1.888,436.5,0.35,False
2026-01-31 17:10:00,234.9,1.888,436.5,0.35,False
2026-01-31 17:20:00,235.3,1.888,436.5,0.35,False
2026-01-31 17:30:00,235.3,1.888,436.5,0.35,False
2026-01-31 17:40:00,235.3,1.888,436.5,0.35,False
